timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1491431559.4152491093,1491431559.4176659584, -0.2176, -0.0091, -0.0092,  0.0070,  0.0023, -0.0125
1491431559.4181170464,1491431559.4204130173, -0.2176, -0.0091, -0.0092,  0.0069,  0.0031, -0.0115
1491431559.4207849503,1491431559.4230890274, -0.2176, -0.0091, -0.0038,  0.0069,  0.0031, -0.0115
1491431559.4234609604,1491431559.4257938862, -0.1888, -0.0074, -0.0038,  0.0069,  0.0031, -0.0115
1491431559.4261639118,1491431559.4284598827, -0.1888, -0.0074, -0.0038,  0.0069,  0.0031, -0.0115
1491431559.4288299084,1491431559.4311339855, -0.1888, -0.0074, -0.0038,  0.0065,  0.0041, -0.0096
1491431559.4315030575,1491431559.4337999821, -0.1888, -0.0074, -0.0038,  0.0065,  0.0041, -0.0096
1491431559.4342689514,1491431559.4365880489, -0.1888, -0.0074, -0.0038,  0.0065,  0.0041, -0.0096
1491431559.4369580746,1491431559.4392569065, -0.1888, -0.0074, -0.0038,  0.0065,  0.0041, -0.0096
1491431559.4396278858,1491431559.4419209957, -0.1888, -0.0074, -0.0038,  0.0065,  0.0041, -0.0114
1491431559.4422919750,1491431559.4446039200, -0.1899, -0.0076, -0.0028,  0.0065,  0.0041, -0.0114
1491431559.4449748993,1491431559.4472789764, -0.1899, -0.0076, -0.0028,  0.0065,  0.0041, -0.0114
1491431559.4476480484,1491431559.4499430656, -0.1899, -0.0076, -0.0028,  0.0065,  0.0041, -0.0114
1491431559.4503130913,1491431559.4526200294, -0.1899, -0.0076, -0.0028,  0.0065,  0.0045, -0.0113
1491431559.4529900551,1491431559.4553899765, -0.1899, -0.0076, -0.0028,  0.0065,  0.0045, -0.0113
1491431559.4557690620,1491431559.4581859112, -0.1899, -0.0076, -0.0028,  0.0065,  0.0045, -0.0113
1491431559.4585618973,1491431559.4609720707, -0.1899, -0.0076, -0.0028,  0.0065,  0.0045, -0.0110
1491431559.4613490105,1491431559.4637610912, -0.1900, -0.0077, -0.0045,  0.0070,  0.0045, -0.0110
1491431559.4641470909,1491431559.4665660858, -0.1900, -0.0077, -0.0045,  0.0070,  0.0045, -0.0110
1491431559.4669449329,1491431559.4693589211, -0.1900, -0.0077, -0.0045,  0.0070,  0.0045, -0.0110
1491431559.4697349072,1491431559.4721469879, -0.1900, -0.0077, -0.0045,  0.0062,  0.0045, -0.0110
1491431559.4725239277,1491431559.4749429226, -0.1900, -0.0077, -0.0045,  0.0062,  0.0045, -0.0110
1491431559.4753201008,1491431559.4777081013, -0.1900, -0.0077, -0.0045,  0.0062,  0.0045, -0.0110
