Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
1483,1491853068.3302330971,0.071100
2534,1491853071.2461259365,-0.007900
2962,1491853072.4330608845,0.093300
3016,1491853072.5832569599,0.057200
3419,1491853073.7014749050,0.079400
3506,1491853073.9412279129,0.041900
3905,1491853075.0483810902,0.091600
3978,1491853075.2510709763,0.017900
4435,1491853076.5175859928,-0.056300
5422,1491853079.2557320595,0.048500
5356,1491853079.0723659992,0.097000
6366,1491853081.8703811169,0.040300
5829,1491853080.3821449280,0.094100
7288,1491853084.4294691086,0.002800
6294,1491853081.6701159477,0.086500
8247,1491853087.0846929550,-0.000500
6822,1491853083.1358571053,-0.059000
9196,1491853089.7200009823,-0.011900
7222,1491853084.2463529110,0.099800
9645,1491853090.9678490162,0.072800
7753,1491853085.7132940292,0.040000
10132,1491853092.3165259361,-0.072800
8181,1491853086.9015359879,0.062700
10611,1491853093.6455450058,-0.027500
8703,1491853088.3490779400,0.037000
11103,1491853095.0124669075,-0.000900
9138,1491853089.5588591099,0.087000
11575,1491853096.3215980530,-0.002300
9652,1491853090.9874529839,0.072600
12045,1491853097.6273119450,-0.008100
10138,1491853092.3329520226,-0.072800
12988,1491853100.2446949482,0.006200



Accel Z
S_i,S_t,S_x
8025,1491853086.4682259560,-0.266500
8025,1491853086.4682259560,-0.266500
8025,1491853086.4682259560,-0.266500
8025,1491853086.4682259560,-0.266500
8025,1491853086.4682259560,-0.266500
8025,1491853086.4682259560,-0.266500
8025,1491853086.4682259560,-0.266500
8032,1491853086.4874279499,-0.266500
8032,1491853086.4874279499,-0.266500
8032,1491853086.4874279499,-0.266500
8032,1491853086.4874279499,-0.266500
8032,1491853086.4874279499,-0.266500
8032,1491853086.4874279499,-0.266500



Gyro X
S_i,S_t,S_x
1047,1491853067.1300790310,0.023800
1365,1491853068.0061709881,0.075900
1383,1491853068.0554978848,-0.086100
1818,1491853069.2620990276,0.063200
1932,1491853069.5782170296,-0.080400
3012,1491853072.5744819641,0.058700
3015,1491853072.5828800201,0.058700
3291,1491853073.3481030464,0.080000
3494,1491853073.9096679688,0.005500
3758,1491853074.6421620846,-0.022700
3965,1491853075.2172329426,0.043800
4270,1491853076.0627250671,0.090500
4440,1491853076.5340130329,-0.032500
4756,1491853077.4099390507,0.082200
4926,1491853077.8817970753,-0.023200
5204,1491853078.6531229019,0.078400
5412,1491853079.2303950787,-0.011900
5722,1491853080.0878019333,0.090900
5887,1491853080.5451450348,0.046400
6327,1491853081.7643239498,0.069700
6355,1491853081.8424639702,-0.058800
6616,1491853082.5667181015,0.006900
6826,1491853083.1492459774,0.014300
7082,1491853083.8600990772,0.078900
7119,1491853083.9622850418,-0.092900
7767,1491853085.7550179958,-0.070800
7781,1491853085.7938320637,-0.083200
8509,1491853087.8130290508,0.039600
8241,1491853087.0707459450,-0.069800
9457,1491853090.4485940933,0.031900
9186,1491853089.6942679882,0.043500
9935,1491853091.7737019062,0.082800
9656,1491853091.0008709431,0.046100
10422,1491853093.1235120296,0.029800
10150,1491853092.3688480854,-0.011500
10896,1491853094.4403610229,0.062600
10628,1491853093.6952888966,-0.028900
11363,1491853095.7354850769,0.073200
