Accel X
P_i,P_t,P_x,T_i,T_t,T_p
276,1491853179.1758360863,-0.082700,440,1491853179.6306529045,-0.409800
753,1491853180.5040459633,-0.053200,881,1491853180.8588089943,-0.505300
1145,1491853181.5917730331,-0.010800,1260,1491853181.9111359119,-0.470100
1596,1491853182.8419868946,-0.041700,1539,1491853182.6841270924,-0.502700
2006,1491853183.9726300240,-0.053500,1948,1491853183.8121290207,-0.488600
2427,1491853185.1395330429,-0.050800,2363,1491853184.9621400833,-0.493100
2835,1491853186.2701420784,-0.045200,2785,1491853186.1311779022,-0.485700
3257,1491853187.4390759468,-0.057500,3193,1491853187.2614779472,-0.498300
3672,1491853188.5895450115,-0.025500,3615,1491853188.4315259457,-0.535200
4087,1491853189.7398419380,-0.029200,4029,1491853189.5792899132,-0.524700
4502,1491853190.8874800205,-0.051100,4445,1491853190.7292840481,-0.507800
4917,1491853192.0381569862,-0.051800,4860,1491853191.8802011013,-0.564900
5325,1491853193.1689059734,-0.049000,5267,1491853193.0086050034,-0.465200
5725,1491853194.2770440578,-0.044700,5675,1491853194.1392660141,-0.503000
6147,1491853195.4465229511,-0.053400,6090,1491853195.2888460159,-0.480900
6569,1491853196.6170759201,-0.041500,6505,1491853196.4388859272,-0.573900
6941,1491853197.6468739510,-0.050300,7055,1491853197.9630699158,-0.540800
7349,1491853198.7777140141,-0.000200,7439,1491853199.0730910301,-0.521100
7740,1491853199.9081969261,-0.013600,7718,1491853199.8468968868,-0.492200
8154,1491853201.0568730831,0.022700,8133,1491853200.9981389046,-0.461800
8576,1491853202.2257919312,0.010100,8683,1491853202.5229339600,-0.515000
9005,1491853203.4141960144,-0.020600,9170,1491853203.8719189167,-0.476300



Accel Y
P_i,P_t,P_x,T_i,T_t,T_p
846,1491853180.7616350651,0.373500,888,1491853180.8783340454,-0.719800
1281,1491853181.9692280293,0.435200,1309,1491853182.0471630096,-0.424300
1726,1491853183.1994709969,0.671400,1725,1491853183.1968100071,-0.742700
2141,1491853184.3469090462,0.632800,2134,1491853184.3275959492,-0.971700
2563,1491853185.5164799690,0.841300,2556,1491853185.4968628883,-0.793500
2971,1491853186.6468861103,0.699400,2964,1491853186.6276340485,-0.929700
3393,1491853187.8157680035,0.805800,3386,1491853187.7965409756,-0.952000
3815,1491853188.9860689640,0.632400,3808,1491853188.9668900967,-0.561000
4223,1491853190.1159160137,0.448300,4215,1491853190.0941970348,-0.357300
4638,1491853191.2644419670,0.513200,4631,1491853191.2456910610,-0.836800
5053,1491853192.4149479866,0.667200,5046,1491853192.3953809738,-0.575300
5453,1491853193.5233190060,0.550200,5446,1491853193.5046520233,-0.851200
5868,1491853194.6744689941,0.781100,5860,1491853194.6524798870,-0.948400
6283,1491853195.8229150772,0.743700,6276,1491853195.8037440777,-0.969500
6698,1491853196.9730589390,0.815500,6691,1491853196.9538600445,-0.716400
7105,1491853198.1013319492,0.514600,7098,1491853198.0817940235,-0.858400
7868,1491853200.2633159161,0.512900,7482,1491853199.1925818920,-0.864800
8282,1491853201.4114830494,0.566400,7897,1491853200.3436601162,-0.499300
8733,1491853202.6607310772,0.324200,8311,1491853201.4913339615,-0.935000
,,,8726,1491853202.6411139965,-0.610200
,,,9169,1491853203.8680529594,-0.553600



Accel Z
P_i,P_t,P_x,T_i,T_t,T_p
1309,1491853182.0471630096,0.216600,1316,1491853182.0666708946,-0.178900
1725,1491853183.1968100071,0.206700,1732,1491853183.2161839008,-0.169400
2134,1491853184.3275959492,0.362300,2112,1491853184.2668490410,-0.124400
2556,1491853185.4968628883,0.320800,2563,1491853185.5164799690,-0.233900
2957,1491853186.6079840660,0.350400,2971,1491853186.6468861103,-0.227900
3386,1491853187.7965409756,0.337300,3393,1491853187.8157680035,-0.225500
3807,1491853188.9640920162,0.208600,3815,1491853188.9860689640,-0.157100
4215,1491853190.0941970348,0.162200,4223,1491853190.1159160137,-0.175900
4631,1491853191.2456910610,0.304500,4638,1491853191.2644419670,-0.306000
5045,1491853192.3925700188,0.229300,5053,1491853192.4149479866,-0.216900
5446,1491853193.5046520233,0.202700,5453,1491853193.5233190060,-0.239600
5860,1491853194.6524798870,0.247100,5868,1491853194.6744689941,-0.291000
6276,1491853195.8037440777,0.368500,6283,1491853195.8229150772,-0.272300
6684,1491853196.9342169762,0.326500,6698,1491853196.9730589390,-0.259900
7098,1491853198.0817940235,0.204500,7105,1491853198.1013319492,-0.207900
7896,1491853200.3408648968,0.154100,7904,1491853200.3629450798,-0.146600
8311,1491853201.4913339615,0.299500,8318,1491853201.5105800629,-0.264400
8726,1491853202.6411139965,0.209600,8733,1491853202.6607310772,-0.154200
9169,1491853203.8680529594,0.239800,9177,1491853203.8907160759,-0.223400



Gyro X
P_i,P_t,P_x,T_i,T_t,T_p
861,1491853180.8055369854,0.192200,894,1491853180.8974568844,-0.218000
1529,1491853182.6585030556,0.259400,1309,1491853182.0495839119,-0.195900
1939,1491853183.7896471024,0.225100,1723,1491853183.1937050819,-0.169000
2355,1491853184.9426779747,0.226700,2154,1491853184.3853199482,-0.089100
2767,1491853186.0838038921,0.254900,2540,1491853185.4556601048,-0.149200
3224,1491853187.3496899605,0.230300,2826,1491853186.2473371029,-0.141400
3606,1491853188.4087851048,0.271500,3391,1491853187.8125920296,-0.135600
4025,1491853189.5705170631,0.269100,3810,1491853188.9748799801,-0.131100
4439,1491853190.7148900032,0.224500,4215,1491853190.0964930058,-0.184400
4887,1491853191.9575409889,0.236700,4650,1491853191.3001410961,-0.145800
5255,1491853192.9774610996,0.240900,5047,1491853192.4006030560,-0.292700
5660,1491853194.1004669666,0.228200,5452,1491853193.5229499340,-0.169600
6079,1491853195.2605578899,0.305100,5812,1491853194.5212869644,-0.132100
6492,1491853196.4053480625,0.216200,6135,1491853195.4156119823,-0.159500
6908,1491853197.5573310852,0.210700,6689,1491853196.9506800175,-0.185800
7312,1491853198.6771199703,0.217200,7056,1491853197.9681100845,-0.211500
7700,1491853199.7994968891,0.186500,7444,1491853199.0896370411,-0.211600
8116,1491853200.9533200264,0.212200,7900,1491853200.3545770645,-0.183900
8539,1491853202.1253190041,0.204800,8268,1491853201.3749599457,-0.208400
8966,1491853203.3080959320,0.289400,8732,1491853202.6603560448,-0.324000
