Accel X
P_i,P_t,P_x,T_i,T_t,T_p
533,        1.4702399158,-0.997100,399,        1.1071539306,-1.938700
951,        2.6148000144,-0.936500,774,        2.1302400016,-2.333300
1372,        3.7778420829,-0.986300,1175,        3.2358789825,-2.270300
2581,        7.1140549564,-0.957000,1452,        3.9986179256,-1.985800
3015,        8.3183179282,-0.285900,2956,        8.1573410415,-2.246800
3415,        9.4224019431,-0.227100,3358,        9.2633300208,-2.182100
3812,       10.5068130874,-0.238000,3768,       10.3868670844,-2.084700
4221,       11.6535349273,-0.226300,4163,       11.4931369208,-1.982200
4654,       12.8590040588,-0.251500,4591,       12.6772520923,-1.931600



Accel Y
P_i,P_t,P_x,T_i,T_t,T_p
394,        1.0882139587,2.770000,789,        2.1709430598,-3.103800
812,        2.2326729678,2.283200,1182,        3.2576020145,-2.608400
1217,        3.3555510425,2.604200,1584,        4.3603730582,-1.577100
2726,        7.5152759933,2.479000,3117,        8.5995629214,-2.526100
3139,        8.6591639899,3.058300,3518,        9.7032189750,-2.833000
3541,        9.7649140739,2.895300,3913,       10.7889180564,-2.932600
3940,       10.8682179832,1.551300,4324,       11.9331410312,-2.403800
4353,       12.0132499122,1.283200,4745,       13.1201548957,-1.506100



Accel Z
P_i,P_t,P_x,T_i,T_t,T_p
399,        1.1071539306,0.363500,627,        1.7300699138,-0.797600
818,        2.2507179164,0.076900,1037,        2.8546140575,-0.779500
1225,        3.3768649482,0.342300,1452,        3.9986179256,-0.620800
1554,        4.2805200004,-0.147700,2725,        7.5124979400,-0.599600
2733,        7.5342779540,-0.013900,3139,        8.6591639899,-0.749500
3117,        8.5995629214,0.314200,3541,        9.7649140739,-0.613500
3518,        9.7032189750,0.159200,4170,       11.5117900752,-0.576200
3926,       10.8246670150,0.199000,4598,       12.6959760570,-0.636700
4331,       11.9525111102,0.191700,,,
4653,       12.8563490295,-0.139400,,,



Gyro X
P_i,P_t,P_x,T_i,T_t,T_p
627,        1.7323780440,127.624500,823,        2.2662680530,-95.169100
1032,        2.8421469115,146.957400,1114,        3.0724161052,-88.073700
1447,        3.9876060867,139.709500,1562,        4.3040559673,-154.251100
2961,        8.1753940963,164.779700,3148,        8.6866450690,-102.874800
3362,        9.2764709376,181.930500,3549,        9.7884569549,-103.332500
3755,       10.3544481181,133.865400,3947,       10.8891480350,-91.918900
4165,       11.5007388972,136.520400,4352,       12.0128820323,-101.028400
4594,       12.6876349830,125.732400,4689,       12.9592390441,-88.699300



Gyro Y
P_i,P_t,P_x,T_i,T_t,T_p
787,        2.1679408931,49.484300,599,        1.6547251128,-23.986800
1189,        3.2784779452,42.923000,1008,        2.7773690604,-22.857700
1598,        4.4029949092,45.700100,1476,        4.0654619121,-25.756800
3021,        8.3366759204,94.436600,1879,        5.1757750892,-17.150900
3420,        9.4379589938,44.815100,3148,        8.6866450690,-21.225000
3913,       10.7912140273,50.384500,3728,       10.2788188838,-24.169900
4324,       11.9355640792,42.419400,4130,       11.4010110282,-28.335600
4735,       13.0893290424,50.033600,4582,       12.6554589652,-24.551400



Gyro Z
P_i,P_t,P_x,T_i,T_t,T_p
754,        2.0785499000,20.050000,638,        1.7616529845,-2.258300
1161,        3.2008710288,4.577600,1044,        2.8754330062,-8.636500
1574,        4.3360870265,-11.734000,1463,        4.0303380870,-9.628300
2632,        7.2590430164,20.401000,2969,        8.1966269397,54.504400
3084,        8.5108809852,31.036400,3372,        9.3073389911,9.796100
3489,        9.6247411155,1.297000,3771,       10.3972709560,-8.316000
3882,       10.7027590655,8.834800,4173,       11.5221391105,-2.349900
4296,       11.8597979926,23.620600,4605,       12.7172480010,-15.228300
4716,       13.0363779449,18.569900,,,



