Accel X
S_i,S_t,S_x
357,        0.9864130401,-1.174800
537,        1.4808938884,-1.010700
737,        2.0309100532,-1.105500
955,        2.6254010581,-1.001500
1138,        3.1347949886,-1.140900
1376,        3.7884478950,-1.052200
1380,        3.7990389251,-1.052200
2589,        7.1362910651,-1.010000
2897,        7.9967921161,-1.083000
3045,        8.4008660697,-1.127900
3307,        9.1229880237,-1.170200
3461,        9.5464380168,-1.146500
3703,       10.2077799224,-1.081100
3856,       10.6300340079,-1.065200
4107,       11.3302989387,-1.195300
4266,       11.7759809875,-1.093000
4525,       12.4958050632,-1.120100
4753,       13.1415760898,-1.137200



Accel Y
S_i,S_t,S_x
320,        0.8847279929,-0.038300
813,        2.2353248977,0.057600
730,        2.0103071117,-0.057600
1264,        3.4808779143,-0.069800
1131,        3.1156599902,-0.001200
1665,        4.5842390441,-0.098100
2631,        7.2541089439,0.032700
3140,        8.6618080520,-0.070300
3052,        8.4194400691,-0.027800
3587,        9.8886299514,-0.068100
3460,        9.5437899017,-0.062500
3949,       10.8922810935,0.021200
3855,       10.6246168994,0.038100
4406,       12.1600129985,-0.004400
4265,       11.7733209514,-0.022000
4781,       13.2201760196,0.059600



Accel Z
S_i,S_t,S_x
393,        1.0855639362,-0.301500
650,        1.7916269683,-0.231400
811,        2.2298450851,-0.248500
1053,        2.8970349216,-0.387900
1217,        3.3555510425,-0.224400
1468,        4.0414290809,-0.394000
1547,        4.2605100059,-0.257300
2747,        7.5764170074,-0.208000
2718,        7.4937479877,-0.280500
3161,        8.7210920238,-0.399200
3000,        8.2778339767,-0.262500
3579,        9.8673739814,-0.395500
3511,        9.6822300338,-0.356400
4174,       11.5226209544,-0.381100
3905,       10.7675669574,-0.351800
4606,       12.7186899566,-0.362300
4317,       11.9139719390,-0.209500
4792,       13.2505290889,-0.295700
4638,       12.8161180400,-0.266400
4792,       13.2505290889,-0.295700



Gyro X
S_i,S_t,S_x
18,        0.0514738940,0.045800
1683,        4.6345429801,0.000000
18,        0.0514738940,0.045800
1683,        4.6345429801,0.000000
18,        0.0514738940,0.045800
1683,        4.6345429801,0.000000
2474,        6.8220301055,0.015300
3721,       10.2597220325,0.061000
2474,        6.8220301055,0.015300
3721,       10.2597220325,0.061000
3724,       10.2680828952,0.061000
4112,       11.3529570483,0.015300
4114,       11.3582830810,0.015300
4205,       11.6089570903,-0.076300



Gyro Y
S_i,S_t,S_x
858,        2.3662789249,-0.045800
861,        2.3742199325,-0.045800
2297,        6.3342240237,-0.076300
861,        2.3742199325,-0.045800
2297,        6.3342240237,-0.076300
861,        2.3742199325,-0.045800
3156,        8.7100539588,0.015300
2300,        6.3422599219,-0.076300
4643,       12.8319518947,-0.076300
3159,        8.7180829429,0.015300
4643,       12.8319518947,-0.076300
3159,        8.7180829429,0.015300
4643,       12.8319518947,-0.076300
3159,        8.7180829429,0.015300
4829,       13.3550060176,-0.030500



Gyro Z
S_i,S_t,S_x
2282,        6.2890940093,-2.105700
2282,        6.2890940093,-2.105700
2282,        6.2890940093,-2.105700
2316,        6.3847470664,2.548200
2316,        6.3847470664,2.548200
2316,        6.3847470664,2.548200
2316,        6.3847470664,2.548200
2316,        6.3847470664,2.548200
2316,        6.3847470664,2.548200



