timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1491431865.4624888897,1491431865.4654579163, -0.1898, -0.0100,  0.0057,  0.0031,  0.0010, -0.0149
1491431865.4659149647,1491431865.4682190418, -0.1898, -0.0100,  0.0067,  0.0040,  0.0019, -0.0086
1491431865.4685928822,1491431865.4708940983, -0.1902, -0.0092,  0.0067,  0.0040,  0.0019, -0.0086
1491431865.4712650776,1491431865.4735651016, -0.1902, -0.0092,  0.0067,  0.0040,  0.0019, -0.0086
1491431865.4739348888,1491431865.4764640331, -0.1902, -0.0092,  0.0067,  0.0040,  0.0023, -0.0093
1491431865.4768369198,1491431865.4791429043, -0.1902, -0.0092,  0.0067,  0.0036,  0.0023, -0.0093
1491431865.4795150757,1491431865.4818201065, -0.1902, -0.0092,  0.0067,  0.0036,  0.0023, -0.0093
1491431865.4821910858,1491431865.4845321178, -0.1902, -0.0092,  0.0067,  0.0036,  0.0023, -0.0093
1491431865.4849040508,1491431865.4872090816, -0.1902, -0.0092,  0.0067,  0.0031,  0.0019, -0.0089
1491431865.4875791073,1491431865.4898769855, -0.1889, -0.0091,  0.0053,  0.0031,  0.0019, -0.0089
1491431865.4902479649,1491431865.4925448895, -0.1889, -0.0091,  0.0053,  0.0031,  0.0019, -0.0089
1491431865.4929170609,1491431865.4953761101, -0.1889, -0.0091,  0.0053,  0.0031,  0.0019, -0.0089
1491431865.4957571030,1491431865.4981839657, -0.1889, -0.0091,  0.0053,  0.0046,  0.0026, -0.0104
1491431865.4985620975,1491431865.5009880066, -0.1889, -0.0091,  0.0053,  0.0046,  0.0026, -0.0104
1491431865.5013659000,1491431865.5037920475, -0.1889, -0.0091,  0.0053,  0.0046,  0.0026, -0.0104
1491431865.5041809082,1491431865.5064899921, -0.1889, -0.0091,  0.0053,  0.0046,  0.0026, -0.0104
1491431865.5068600178,1491431865.5091600418, -0.1884, -0.0109,  0.0026,  0.0056,  0.0022, -0.0116
1491431865.5095291138,1491431865.5118319988, -0.1884, -0.0109,  0.0026,  0.0056,  0.0022, -0.0116
1491431865.5122001171,1491431865.5145440102, -0.1884, -0.0109,  0.0026,  0.0056,  0.0022, -0.0116
1491431865.5149130821,1491431865.5172169209, -0.1884, -0.0109,  0.0026,  0.0056,  0.0022, -0.0125
1491431865.5175890923,1491431865.5198810101, -0.1884, -0.0109,  0.0026,  0.0060,  0.0007, -0.0125
1491431865.5202519894,1491431865.5225510597, -0.1884, -0.0109,  0.0026,  0.0060,  0.0007, -0.0125
1491431865.5229210854,1491431865.5253500938, -0.1884, -0.0109,  0.0026,  0.0060,  0.0007, -0.0125
1491431865.5257260799,1491431865.5281410217, -0.1884, -0.0101,  0.0048,  0.0064,  0.0004, -0.0138
1491431865.5285201073,1491431865.5309479237, -0.1883, -0.0101,  0.0048,  0.0064,  0.0004, -0.0138
1491431865.5313289165,1491431865.5337400436, -0.1883, -0.0101,  0.0048,  0.0064,  0.0004, -0.0138
1491431865.5341238976,1491431865.5365140438, -0.1883, -0.0101,  0.0048,  0.0064,  0.0004, -0.0138
1491431865.5368890762,1491431865.5392839909, -0.1883, -0.0101,  0.0048,  0.0068,  0.0002, -0.0149
1491431865.5396609306,1491431865.5421380997, -0.1883, -0.0101,  0.0048,  0.0068,  0.0002, -0.0149
1491431865.5425159931,1491431865.5450839996, -0.1883, -0.0101,  0.0048,  0.0068,  0.0002, -0.0149
1491431865.5454540253,1491431865.5477590561, -0.1883, -0.0101,  0.0046,  0.0068,  0.0002, -0.0149
1491431865.5481278896,1491431865.5504310131, -0.1891, -0.0106,  0.0046,  0.0071,  0.0004, -0.0140
1491431865.5508038998,1491431865.5531010628, -0.1891, -0.0106,  0.0046,  0.0071,  0.0004, -0.0140
1491431865.5534729958,1491431865.5558180809, -0.1891, -0.0106,  0.0046,  0.0071,  0.0004, -0.0140
1491431865.5561869144,1491431865.5584869385, -0.1891, -0.0106,  0.0046,  0.0071,  0.0004, -0.0146
1491431865.5588569641,1491431865.5611538887, -0.1891, -0.0106,  0.0046,  0.0075,  0.0003, -0.0146
1491431865.5615229607,1491431865.5638189316, -0.1891, -0.0106,  0.0046,  0.0075,  0.0003, -0.0146
1491431865.5642030239,1491431865.5666151047, -0.1891, -0.0106,  0.0046,  0.0075,  0.0003, -0.0146
1491431865.5669939518,1491431865.5694050789, -0.1891, -0.0103,  0.0052,  0.0070,  0.0008, -0.0151
1491431865.5697801113,1491431865.5721919537, -0.1891, -0.0103,  0.0052,  0.0070,  0.0008, -0.0151
1491431865.5725679398,1491431865.5749518871, -0.1891, -0.0103,  0.0052,  0.0070,  0.0008, -0.0151
1491431865.5753240585,1491431865.5776228905, -0.1891, -0.0103,  0.0052,  0.0070,  0.0008, -0.0151
1491431865.5781369209,1491431865.5806810856, -0.1891, -0.0103,  0.0052,  0.0071,  0.0006, -0.0148
1491431865.5810720921,1491431865.5833890438, -0.1891, -0.0103,  0.0052,  0.0071,  0.0006, -0.0148
1491431865.5837619305,1491431865.5862829685, -0.1891, -0.0103,  0.0052,  0.0071,  0.0006, -0.0148
1491431865.5866560936,1491431865.5889561176, -0.1894, -0.0107,  0.0037,  0.0071,  0.0006, -0.0148
1491431865.5893259048,1491431865.5916230679, -0.1894, -0.0107,  0.0037,  0.0073,  0.0012, -0.0138
1491431865.5919940472,1491431865.5945041180, -0.1894, -0.0107,  0.0037,  0.0073,  0.0012, -0.0138
1491431865.5948760509,1491431865.5971748829, -0.1894, -0.0107,  0.0037,  0.0073,  0.0012, -0.0138
1491431865.5975461006,1491431865.5998470783, -0.1894, -0.0107,  0.0037,  0.0073,  0.0019, -0.0150
1491431865.6002180576,1491431865.6025149822, -0.1894, -0.0107,  0.0037,  0.0074,  0.0019, -0.0150
1491431865.6028850079,1491431865.6051940918, -0.1894, -0.0107,  0.0037,  0.0074,  0.0019, -0.0150
1491431865.6055629253,1491431865.6078610420, -0.1891, -0.0111,  0.0056,  0.0074,  0.0019, -0.0150
1491431865.6082320213,1491431865.6105270386, -0.1891, -0.0111,  0.0056,  0.0070,  0.0021, -0.0157
1491431865.6108980179,1491431865.6131889820, -0.1891, -0.0111,  0.0056,  0.0070,  0.0021, -0.0157
1491431865.6135590076,1491431865.6158640385, -0.1891, -0.0111,  0.0056,  0.0070,  0.0021, -0.0157
1491431865.6162340641,1491431865.6185328960, -0.1891, -0.0111,  0.0056,  0.0070,  0.0021, -0.0157
1491431865.6189041138,1491431865.6211969852, -0.1891, -0.0111,  0.0056,  0.0066,  0.0024, -0.0157
1491431865.6215670109,1491431865.6238629818, -0.1891, -0.0111,  0.0056,  0.0066,  0.0024, -0.0157
1491431865.6242389679,1491431865.6268079281, -0.1891, -0.0111,  0.0056,  0.0066,  0.0024, -0.0157
1491431865.6271789074,1491431865.6294829845, -0.1891, -0.0116,  0.0054,  0.0066,  0.0024, -0.0157
1491431865.6298520565,1491431865.6321589947, -0.1891, -0.0116,  0.0054,  0.0068,  0.0037, -0.0155
1491431865.6325299740,1491431865.6350550652, -0.1891, -0.0116,  0.0054,  0.0068,  0.0037, -0.0155
1491431865.6354329586,1491431865.6378240585, -0.1891, -0.0116,  0.0054,  0.0068,  0.0037, -0.0155
1491431865.6382000446,1491431865.6406428814, -0.1891, -0.0116,  0.0054,  0.0068,  0.0037, -0.0150
1491431865.6410200596,1491431865.6434090137, -0.1891, -0.0116,  0.0054,  0.0058,  0.0041, -0.0150
1491431865.6446120739,1491431865.6469209194, -0.1891, -0.0116,  0.0064,  0.0058,  0.0041, -0.0150
1491431865.6472930908,1491431865.6495959759, -0.1896, -0.0116,  0.0064,  0.0058,  0.0041, -0.0150
1491431865.6499679089,1491431865.6522669792, -0.1896, -0.0116,  0.0064,  0.0066,  0.0048, -0.0136
1491431865.6526379585,1491431865.6549499035, -0.1896, -0.0116,  0.0064,  0.0066,  0.0048, -0.0136
1491431865.6553208828,1491431865.6576180458, -0.1896, -0.0116,  0.0064,  0.0066,  0.0048, -0.0136
