timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1493101420.8918099403, 1493101420.9035520554,  -0.0219,  -0.0712,   0.1006,   0.0055,   0.0040,  -0.0171
1493101420.9041519165, 1493101420.9064519405,  -0.0219,  -0.0712,   0.1006,   0.0055,   0.0040,  -0.0171
1493101420.9070498943, 1493101420.9093449116,  -0.0219,  -0.0712,   0.1006,   0.0055,   0.0040,  -0.0171
1493101420.9099431038, 1493101420.9122960567,  -0.0219,  -0.0712,   0.1006,   0.0048,   0.0038,  -0.0158
1493101420.9128930569, 1493101420.9151918888,  -0.0219,  -0.0712,   0.1006,   0.0048,   0.0038,  -0.0158
1493101420.9157910347, 1493101420.9180870056,  -0.0219,  -0.0712,   0.1006,   0.0048,   0.0038,  -0.0158
1493101420.9186849594, 1493101420.9209969044,  -0.0219,  -0.0712,   0.1006,   0.0048,   0.0038,  -0.0080
1493101420.9215960503, 1493101420.9238910675,  -0.0219,  -0.0713,   0.0999,   0.0045,   0.0045,  -0.0151
1493101420.9244880676, 1493101420.9267818928,  -0.0219,  -0.0713,   0.0999,   0.0045,   0.0045,  -0.0151
1493101420.9273810387, 1493101420.9296810627,  -0.0219,  -0.0713,   0.0999,   0.0045,   0.0045,  -0.0151
1493101420.9302780628, 1493101420.9325859547,  -0.0219,  -0.0713,   0.0999,   0.0056,   0.0043,  -0.0151
1493101420.9331839085, 1493101420.9355919361,  -0.0219,  -0.0713,   0.0999,   0.0056,   0.0043,  -0.0151
1493101420.9361898899, 1493101420.9384860992,  -0.0219,  -0.0713,   0.0999,   0.0056,   0.0043,  -0.0151
1493101420.9390859604, 1493101420.9414939880,  -0.0219,  -0.0713,   0.0999,   0.0056,   0.0043,  -0.0151
1493101420.9420940876, 1493101420.9443900585,  -0.0222,  -0.0715,   0.0990,   0.0062,   0.0034,  -0.0155
1493101420.9449889660, 1493101420.9477419853,  -0.0222,  -0.0715,   0.0990,   0.0062,   0.0034,  -0.0155
1493101420.9483420849, 1493101420.9506349564,  -0.0222,  -0.0715,   0.0990,   0.0062,   0.0034,  -0.0155
1493101420.9512319565, 1493101420.9535241127,  -0.0222,  -0.0715,   0.0990,   0.0069,   0.0034,  -0.0166
1493101420.9541230202, 1493101420.9564130306,  -0.0222,  -0.0715,   0.0990,   0.0069,   0.0034,  -0.0166
1493101420.9570119381, 1493101420.9593019485,  -0.0222,  -0.0715,   0.0990,   0.0069,   0.0034,  -0.0166
1493101420.9598999023, 1493101420.9621980190,  -0.0222,  -0.0715,   0.0999,   0.0069,   0.0034,  -0.0166
