Accel X
P_i,P_t,P_x,T_i,T_t,T_p
,,,177,1493101415.3492119312,-0.198000



Accel Y
P_i,P_t,P_x,T_i,T_t,T_p
263,1493101415.6058828831,0.032000,476,1493101416.2417469025,-0.130400



Accel Z
P_i,P_t,P_x,T_i,T_t,T_p
482,1493101416.2595360279,0.070800,496,1493101416.3010439873,0.014600
1147,1493101418.2435650826,0.102300,,,



Gyro X
P_i,P_t,P_x,T_i,T_t,T_p
185,1493101415.3752579689,0.140000,312,1493101415.7553830147,-0.362100
564,1493101416.5071640015,0.289600,,,



Gyro Y
P_i,P_t,P_x,T_i,T_t,T_p
243,1493101415.5485548973,0.166300,181,1493101415.3636720181,-0.149700



Gyro Z
P_i,P_t,P_x,T_i,T_t,T_p
184,1493101415.3723659515,0.212400,391,1493101415.9909479618,-0.345600



