timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1492035552.3087608814,1492035552.3116209507, -0.1831,  0.0227,  0.0207,  0.0086,  0.0041, -0.0215
1492035552.3120830059,1492035552.3143849373, -0.1831,  0.0227,  0.0181,  0.0086,  0.0041, -0.0215
1492035552.3147580624,1492035552.3170540333, -0.1836,  0.0222,  0.0181,  0.0086,  0.0041, -0.0215
1492035552.3174250126,1492035552.3197309971, -0.1836,  0.0222,  0.0181,  0.0086,  0.0028, -0.0240
1492035552.3201038837,1492035552.3225319386, -0.1836,  0.0222,  0.0181,  0.0078,  0.0028, -0.0240
1492035552.3229060173,1492035552.3252019882, -0.1836,  0.0222,  0.0181,  0.0078,  0.0028, -0.0240
1492035552.3255729675,1492035552.3278739452, -0.1836,  0.0222,  0.0181,  0.0078,  0.0028, -0.0240
1492035552.3282430172,1492035552.3306050301, -0.1836,  0.0222,  0.0181,  0.0071,  0.0016, -0.0229
1492035552.3310329914,1492035552.3333520889, -0.1836,  0.0222,  0.0181,  0.0071,  0.0016, -0.0229
1492035552.3337221146,1492035552.3360190392, -0.1843,  0.0209,  0.0178,  0.0071,  0.0016, -0.0229
1492035552.3363909721,1492035552.3386840820, -0.1843,  0.0209,  0.0178,  0.0071,  0.0016, -0.0229
1492035552.3390541077,1492035552.3416779041, -0.1843,  0.0209,  0.0178,  0.0063,  0.0012, -0.0226
1492035552.3420469761,1492035552.3443479538, -0.1843,  0.0209,  0.0178,  0.0063,  0.0012, -0.0226
1492035552.3447198868,1492035552.3470149040, -0.1843,  0.0209,  0.0178,  0.0063,  0.0012, -0.0226
1492035552.3473858833,1492035552.3496890068, -0.1843,  0.0209,  0.0178,  0.0063,  0.0012, -0.0226
1492035552.3500559330,1492035552.3524329662, -0.1843,  0.0209,  0.0178,  0.0049,  0.0012, -0.0227
1492035552.3528029919,1492035552.3551108837, -0.1832,  0.0218,  0.0199,  0.0049,  0.0012, -0.0227
1492035552.3554799557,1492035552.3577790260, -0.1832,  0.0218,  0.0199,  0.0049,  0.0012, -0.0227
1492035552.3581480980,1492035552.3604741096, -0.1832,  0.0218,  0.0199,  0.0049,  0.0012, -0.0227
1492035552.3608450890,1492035552.3632578850, -0.1832,  0.0218,  0.0199,  0.0048,  0.0010, -0.0227
1492035552.3636300564,1492035552.3659329414, -0.1832,  0.0218,  0.0199,  0.0048,  0.0010, -0.0227
1492035552.3663020134,1492035552.3686070442, -0.1832,  0.0218,  0.0199,  0.0048,  0.0010, -0.0227
1492035552.3689749241,1492035552.3713960648, -0.1832,  0.0218,  0.0199,  0.0048,  0.0011, -0.0224
1492035552.3717970848,1492035552.3741118908, -0.1832,  0.0222,  0.0200,  0.0065,  0.0011, -0.0224
1492035552.3744840622,1492035552.3767919540, -0.1835,  0.0222,  0.0200,  0.0065,  0.0011, -0.0224
1492035552.3771619797,1492035552.3794639111, -0.1835,  0.0222,  0.0200,  0.0065,  0.0011, -0.0224
1492035552.3798339367,1492035552.3822970390, -0.1835,  0.0222,  0.0200,  0.0081,  0.0014, -0.0231
1492035552.3826749325,1492035552.3851079941, -0.1835,  0.0222,  0.0200,  0.0081,  0.0014, -0.0231
1492035552.3854870796,1492035552.3884510994, -0.1835,  0.0222,  0.0200,  0.0081,  0.0014, -0.0231
1492035552.3888370991,1492035552.3912129402, -0.1835,  0.0222,  0.0200,  0.0081,  0.0014, -0.0309
1492035552.3915851116,1492035552.3938879967, -0.1835,  0.0222,  0.0198,  0.0097,  0.0015, -0.0241
1492035552.3942599297,1492035552.3965559006, -0.1827,  0.0228,  0.0198,  0.0097,  0.0015, -0.0241
1492035552.3969240189,1492035552.3992259502, -0.1827,  0.0228,  0.0198,  0.0097,  0.0015, -0.0241
1492035552.3995950222,1492035552.4020628929, -0.1827,  0.0228,  0.0198,  0.0097,  0.0003, -0.0250
1492035552.4024400711,1492035552.4048678875, -0.1827,  0.0228,  0.0198,  0.0074,  0.0003, -0.0250
1492035552.4052460194,1492035552.4076690674, -0.1827,  0.0228,  0.0198,  0.0074,  0.0003, -0.0250
1492035552.4080450535,1492035552.4104878902, -0.1827,  0.0228,  0.0198,  0.0074,  0.0003, -0.0250
1492035552.4108629227,1492035552.4132881165, -0.1827,  0.0228,  0.0198,  0.0048, -0.0003, -0.0261
1492035552.4136660099,1492035552.4160959721, -0.1839,  0.0192,  0.0163,  0.0048, -0.0003, -0.0261
1492035552.4164741039,1492035552.4188981056, -0.1839,  0.0192,  0.0163,  0.0048, -0.0003, -0.0261
1492035552.4192750454,1492035552.4216279984, -0.1839,  0.0192,  0.0163,  0.0048, -0.0003, -0.0261
1492035552.4219970703,1492035552.4242980480, -0.1839,  0.0192,  0.0163,  0.0062, -0.0001, -0.0249
1492035552.4248220921,1492035552.4271171093, -0.1839,  0.0192,  0.0163,  0.0062, -0.0001, -0.0249
1492035552.4274880886,1492035552.4297919273, -0.1839,  0.0192,  0.0163,  0.0062, -0.0001, -0.0249
1492035552.4301590919,1492035552.4324541092, -0.1839,  0.0192,  0.0163,  0.0062, -0.0001, -0.0208
1492035552.4328229427,1492035552.4351210594, -0.1837,  0.0158,  0.0215,  0.0052, -0.0004, -0.0208
1492035552.4354889393,1492035552.4377870560, -0.1837,  0.0158,  0.0215,  0.0052, -0.0004, -0.0208
1492035552.4381570816,1492035552.4405579567, -0.1837,  0.0158,  0.0215,  0.0052, -0.0004, -0.0208
1492035552.4409279823,1492035552.4432311058, -0.1837,  0.0158,  0.0215,  0.0052, -0.0021, -0.0193
1492035552.4436020851,1492035552.4459071159, -0.1837,  0.0158,  0.0215,  0.0046, -0.0021, -0.0193
1492035552.4462759495,1492035552.4485750198, -0.1837,  0.0158,  0.0215,  0.0046, -0.0021, -0.0193
1492035552.4489450455,1492035552.4513990879, -0.1837,  0.0158,  0.0215,  0.0046, -0.0021, -0.0193
1492035552.4517769814,1492035552.4542050362, -0.1843,  0.0193,  0.0192,  0.0041, -0.0028, -0.0185
1492035552.4545838833,1492035552.4570090771, -0.1843,  0.0193,  0.0192,  0.0041, -0.0028, -0.0185
1492035552.4573860168,1492035552.4598090649, -0.1843,  0.0193,  0.0192,  0.0041, -0.0028, -0.0185
1492035552.4601960182,1492035552.4626190662, -0.1843,  0.0193,  0.0192,  0.0041, -0.0028, -0.0185
1492035552.4629950523,1492035552.4654200077, -0.1843,  0.0193,  0.0192, -0.0049, -0.0037, -0.0196
1492035552.4657950401,1492035552.4682159424, -0.1843,  0.0193,  0.0192, -0.0049, -0.0037, -0.0196
1492035552.4685919285,1492035552.4710249901, -0.1843,  0.0193,  0.0192, -0.0049, -0.0037, -0.0196
1492035552.4714019299,1492035552.4738249779, -0.1841,  0.0161,  0.0133, -0.0049, -0.0037, -0.0254
1492035552.4742031097,1492035552.4766199589, -0.1841,  0.0161,  0.0133, -0.0294, -0.0070, -0.0254
1492035552.4769959450,1492035552.4794149399, -0.1841,  0.0161,  0.0133, -0.0294, -0.0070, -0.0254
1492035552.4797930717,1492035552.4823560715, -0.1841,  0.0161,  0.0133, -0.0294, -0.0070, -0.0254
1492035552.4827260971,1492035552.4850289822, -0.1841,  0.0161,  0.0133, -0.0385, -0.0032, -0.0232
1492035552.4853990078,1492035552.4877040386, -0.1841,  0.0161,  0.0133, -0.0385, -0.0032, -0.0232
1492035552.4880719185,1492035552.4905889034, -0.1841,  0.0161,  0.0133, -0.0385, -0.0032, -0.0232
1492035552.4909639359,1492035552.4933509827, -0.1841,  0.0233,  0.0120, -0.0385, -0.0032, -0.0232
1492035552.4937241077,1492035552.4962511063, -0.1814,  0.0233,  0.0120, -0.0320,  0.0016, -0.0128
1492035552.4966280460,1492035552.4990150928, -0.1814,  0.0233,  0.0120, -0.0320,  0.0016, -0.0128
1492035552.5001730919,1492035552.5026109219, -0.1814,  0.0233,  0.0120, -0.0320,  0.0016, -0.0128
1492035552.5029931068,1492035552.5054180622, -0.1814,  0.0233,  0.0120, -0.0290,  0.0027, -0.0066
1492035552.5057981014,1492035552.5082230568, -0.1814,  0.0233,  0.0120, -0.0290,  0.0027, -0.0066
1492035552.5085999966,1492035552.5110409260, -0.1814,  0.0233,  0.0120, -0.0290,  0.0027, -0.0066
1492035552.5114200115,1492035552.5138399601, -0.1863,  0.0118,  0.0215, -0.0290,  0.0027, -0.0066
1492035552.5142180920,1492035552.5166399479, -0.1863,  0.0118,  0.0215, -0.0287,  0.0010, -0.0033
1492035552.5170168877,1492035552.5194449425, -0.1863,  0.0118,  0.0215, -0.0287,  0.0010, -0.0033
1492035552.5198218822,1492035552.5221700668, -0.1863,  0.0118,  0.0215, -0.0287,  0.0010, -0.0033
1492035552.5225419998,1492035552.5248460770, -0.1863,  0.0118,  0.0215, -0.0287,  0.0010, -0.0033
1492035552.5252170563,1492035552.5275208950, -0.1863,  0.0118,  0.0215, -0.0255,  0.0025, -0.0006
1492035552.5278899670,1492035552.5302340984, -0.1863,  0.0118,  0.0215, -0.0255,  0.0025, -0.0006
1492035552.5306029320,1492035552.5329079628, -0.1863,  0.0331,  0.0124, -0.0255,  0.0025, -0.0006
1492035552.5332760811,1492035552.5355730057, -0.1860,  0.0331,  0.0124, -0.0255,  0.0025, -0.0009
1492035552.5359430313,1492035552.5382421017, -0.1860,  0.0331,  0.0124, -0.0199,  0.0059, -0.0009
1492035552.5387289524,1492035552.5410439968, -0.1860,  0.0331,  0.0124, -0.0199,  0.0059, -0.0009
1492035552.5414140224,1492035552.5437130928, -0.1860,  0.0331,  0.0124, -0.0199,  0.0059, -0.0009
1492035552.5440840721,1492035552.5463910103, -0.1860,  0.0331,  0.0124, -0.0121,  0.0053, -0.0049
1492035552.5467588902,1492035552.5490550995, -0.1860,  0.0331,  0.0124, -0.0141,  0.0053, -0.0049
1492035552.5494239330,1492035552.5517690182, -0.1860,  0.0331,  0.0124, -0.0141,  0.0053, -0.0049
1492035552.5521419048,1492035552.5544419289, -0.1851,  0.0193,  0.0209, -0.0141,  0.0053, -0.0049
1492035552.5548110008,1492035552.5571119785, -0.1851,  0.0193,  0.0209, -0.0110,  0.0042, -0.0077
1492035552.5574820042,1492035552.5597798824, -0.1851,  0.0193,  0.0209, -0.0110,  0.0042, -0.0077
1492035552.5602869987,1492035552.5626089573, -0.1851,  0.0193,  0.0209, -0.0110,  0.0042, -0.0077
1492035552.5629789829,1492035552.5652780533, -0.1851,  0.0193,  0.0209, -0.0110,  0.0042, -0.0077
1492035552.5656499863,1492035552.5679550171, -0.1851,  0.0193,  0.0209, -0.0113,  0.0041, -0.0082
1492035552.5683250427,1492035552.5707709789, -0.1851,  0.0193,  0.0209, -0.0113,  0.0041, -0.0082
1492035552.5711479187,1492035552.5735731125, -0.1843,  0.0164,  0.0225, -0.0113,  0.0041, -0.0082
1492035552.5739510059,1492035552.5763809681, -0.1843,  0.0164,  0.0225, -0.0113,  0.0041, -0.0082
1492035552.5767600536,1492035552.5791869164, -0.1843,  0.0164,  0.0225, -0.0117,  0.0038, -0.0080
1492035552.5795650482,1492035552.5819358826, -0.1843,  0.0164,  0.0225, -0.0117,  0.0038, -0.0080
1492035552.5823059082,1492035552.5846180916, -0.1843,  0.0164,  0.0225, -0.0117,  0.0038, -0.0080
1492035552.5849881172,1492035552.5872879028, -0.1843,  0.0164,  0.0225, -0.0117,  0.0022, -0.0089
1492035552.5876569748,1492035552.5899589062, -0.1843,  0.0164,  0.0225, -0.0106,  0.0022, -0.0089
1492035552.5903899670,1492035552.5928120613, -0.1841,  0.0220,  0.0218, -0.0106,  0.0022, -0.0089
1492035552.5931890011,1492035552.5956189632, -0.1841,  0.0220,  0.0218, -0.0106,  0.0022, -0.0089
1492035552.5959970951,1492035552.5984249115, -0.1841,  0.0220,  0.0218, -0.0102,  0.0014, -0.0096
1492035552.5988030434,1492035552.6011788845, -0.1841,  0.0220,  0.0218, -0.0102,  0.0014, -0.0096
1492035552.6015520096,1492035552.6038489342, -0.1841,  0.0220,  0.0218, -0.0102,  0.0014, -0.0096
1492035552.6042180061,1492035552.6065249443, -0.1841,  0.0220,  0.0218, -0.0102,  0.0014, -0.0096
1492035552.6068940163,1492035552.6091940403, -0.1841,  0.0220,  0.0218, -0.0086,  0.0021, -0.0107
1492035552.6095650196,1492035552.6119780540, -0.1841,  0.0298,  0.0182, -0.0086,  0.0021, -0.0107
1492035552.6123559475,1492035552.6147820950, -0.1887,  0.0251,  0.0182, -0.0086,  0.0021, -0.0107
1492035552.6151599884,1492035552.6175899506, -0.1887,  0.0251,  0.0182, -0.0086,  0.0021, -0.0107
1492035552.6179668903,1492035552.6204218864, -0.1887,  0.0251,  0.0182, -0.0033,  0.0040, -0.0124
1492035552.6207900047,1492035552.6230840683, -0.1887,  0.0251,  0.0182, -0.0033,  0.0040, -0.0124
1492035552.6234540939,1492035552.6257550716, -0.1887,  0.0251,  0.0182, -0.0033,  0.0040, -0.0124
1492035552.6262240410,1492035552.6285359859, -0.1887,  0.0251,  0.0182,  0.0045,  0.0077, -0.0120
1492035552.6289069653,1492035552.6312839985, -0.1887,  0.0251,  0.0182,  0.0038,  0.0077, -0.0120
1492035552.6316618919,1492035552.6340889931, -0.1864,  0.0157,  0.0221,  0.0038,  0.0077, -0.0120
1492035552.6344659328,1492035552.6368880272, -0.1864,  0.0157,  0.0221,  0.0038,  0.0077, -0.0120
1492035552.6372659206,1492035552.6396880150, -0.1864,  0.0157,  0.0221,  0.0103,  0.0113, -0.0125
1492035552.6400721073,1492035552.6424939632, -0.1864,  0.0157,  0.0221,  0.0103,  0.0113, -0.0125
1492035552.6428689957,1492035552.6452939510, -0.1864,  0.0157,  0.0221,  0.0103,  0.0113, -0.0125
1492035552.6456689835,1492035552.6480898857, -0.1864,  0.0157,  0.0221,  0.0103,  0.0113, -0.0125
1492035552.6484649181,1492035552.6508979797, -0.1864,  0.0157,  0.0221,  0.0154,  0.0138, -0.0109
1492035552.6512749195,1492035552.6537001133, -0.1864,  0.0176,  0.0239,  0.0154,  0.0138, -0.0109
1492035552.6541869640,1492035552.6566109657, -0.1864,  0.0176,  0.0239,  0.0154,  0.0138, -0.0109
1492035552.6569879055,1492035552.6594069004, -0.1864,  0.0176,  0.0239,  0.0154,  0.0159, -0.0085
1492035552.6597840786,1492035552.6621489525, -0.1864,  0.0176,  0.0239,  0.0156,  0.0159, -0.0085
1492035552.6625180244,1492035552.6648221016, -0.1864,  0.0176,  0.0239,  0.0156,  0.0159, -0.0085
1492035552.6651909351,1492035552.6674931049, -0.1864,  0.0176,  0.0239,  0.0156,  0.0159, -0.0085
1492035552.6678628922,1492035552.6702220440, -0.1864,  0.0176,  0.0239,  0.0149,  0.0194, -0.0067
1492035552.6705930233,1492035552.6728899479, -0.1879,  0.0208,  0.0208,  0.0149,  0.0194, -0.0067
1492035552.6732609272,1492035552.6755540371, -0.1879,  0.0208,  0.0208,  0.0149,  0.0194, -0.0067
1492035552.6759231091,1492035552.6782250404, -0.1879,  0.0208,  0.0208,  0.0149,  0.0194, -0.0067
1492035552.6785929203,1492035552.6809730530, -0.1879,  0.0208,  0.0208,  0.0143,  0.0217, -0.0042
1492035552.6813418865,1492035552.6836431026, -0.1879,  0.0208,  0.0208,  0.0143,  0.0217, -0.0042
1492035552.6840128899,1492035552.6863090992, -0.1879,  0.0208,  0.0208,  0.0143,  0.0217, -0.0042
1492035552.6866810322,1492035552.6889770031, -0.1879,  0.0208,  0.0208,  0.0143,  0.0217, -0.0042
1492035552.6893448830,1492035552.6925580502, -0.1848,  0.0151,  0.0275,  0.0134,  0.0225, -0.0032
