timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1492035718.6827600002,1492035718.6853299141, -0.2065,  0.0334, -0.0084, -0.0160,  0.0073, -0.0696
1492035718.6857829094,1492035718.6880850792, -0.2087,  0.0308,  0.0051, -0.0160,  0.0073, -0.0696
1492035718.6884570122,1492035718.6908431053, -0.2087,  0.0308,  0.0051, -0.0160,  0.0073, -0.0616
1492035718.6912140846,1492035718.6935119629, -0.2087,  0.0308,  0.0051, -0.0045,  0.0086, -0.0616
1492035718.6938829422,1492035718.6961870193, -0.2087,  0.0308,  0.0051, -0.0045,  0.0086, -0.0616
1492035718.6965560913,1492035718.6988549232, -0.2087,  0.0308,  0.0051, -0.0045,  0.0086, -0.0616
1492035718.6992249489,1492035718.7017030716, -0.2087,  0.0308,  0.0051, -0.0045,  0.0111, -0.0487
1492035718.7020750046,1492035718.7043728828, -0.2087,  0.0308,  0.0051,  0.0064,  0.0111, -0.0487
1492035718.7047450542,1492035718.7070438862, -0.2000,  0.0363, -0.0101,  0.0064,  0.0111, -0.0487
1492035718.7074139118,1492035718.7097070217, -0.2000,  0.0363, -0.0101,  0.0064,  0.0111, -0.0487
1492035718.7102069855,1492035718.7125110626, -0.2000,  0.0363, -0.0101,  0.0156,  0.0134, -0.0420
1492035718.7128810883,1492035718.7151799202, -0.2000,  0.0363, -0.0101,  0.0156,  0.0134, -0.0420
1492035718.7155480385,1492035718.7178509235, -0.2000,  0.0363, -0.0101,  0.0156,  0.0134, -0.0420
1492035718.7182219028,1492035718.7205269337, -0.2000,  0.0363, -0.0101,  0.0156,  0.0134, -0.0420
1492035718.7208960056,1492035718.7231960297, -0.2000,  0.0363, -0.0101,  0.0266,  0.0163, -0.0401
1492035718.7235639095,1492035718.7258648872, -0.2000,  0.0519, -0.0081,  0.0266,  0.0163, -0.0401
1492035718.7262339592,1492035718.7285289764, -0.2050,  0.0497, -0.0081,  0.0266,  0.0163, -0.0401
1492035718.7288980484,1492035718.7312920094, -0.2050,  0.0497, -0.0081,  0.0266,  0.0163, -0.0401
1492035718.7316689491,1492035718.7341001034, -0.2050,  0.0497, -0.0081,  0.0367,  0.0174, -0.0348
1492035718.7344770432,1492035718.7369000912, -0.2050,  0.0497, -0.0081,  0.0367,  0.0174, -0.0348
1492035718.7372748852,1492035718.7397038937, -0.2050,  0.0497, -0.0081,  0.0367,  0.0174, -0.0348
1492035718.7400910854,1492035718.7425179482, -0.2050,  0.0497, -0.0081,  0.0367,  0.0174, -0.0240
1492035718.7428970337,1492035718.7453210354, -0.2050,  0.0497,  0.0218,  0.0454,  0.0163, -0.0240
1492035718.7456960678,1492035718.7481269836, -0.2006,  0.0834,  0.0218,  0.0454,  0.0163, -0.0240
1492035718.7485029697,1492035718.7509419918, -0.2006,  0.0834,  0.0218,  0.0454,  0.0163, -0.0240
1492035718.7513198853,1492035718.7537479401, -0.2006,  0.0834,  0.0218,  0.0840,  0.0146, -0.0051
1492035718.7541251183,1492035718.7565610409, -0.2006,  0.0834,  0.0218,  0.0840,  0.0146, -0.0051
1492035718.7569379807,1492035718.7593669891, -0.2006,  0.0834,  0.0218,  0.0840,  0.0146, -0.0051
1492035718.7597429752,1492035718.7620871067, -0.2006,  0.0834,  0.0218,  0.0840,  0.0146, -0.0051
1492035718.7624580860,1492035718.7647619247, -0.2006,  0.0834,  0.0218,  0.1522,  0.0395,  0.0395
1492035718.7651309967,1492035718.7675540447, -0.2509,  0.2133, -0.0605,  0.1522,  0.0395,  0.0395
1492035718.7679240704,1492035718.7702710629, -0.2509,  0.2133, -0.0605,  0.1522,  0.0395,  0.0395
1492035718.7706470490,1492035718.7730610371, -0.2509,  0.2133, -0.0605,  0.1522,  0.0395,  0.0551
1492035718.7734370232,1492035718.7758429050, -0.2509,  0.2133, -0.0605,  0.1764,  0.0579,  0.0574
1492035718.7762179375,1492035718.7786259651, -0.2509,  0.2133, -0.0605,  0.1764,  0.0579,  0.0574
1492035718.7790000439,1492035718.7814209461, -0.2509,  0.2133, -0.0605,  0.1764,  0.0579,  0.0574
1492035718.7817978859,1492035718.7842080593, -0.2509,  0.2133, -0.0605,  0.1685,  0.0684,  0.0642
1492035718.7845818996,1492035718.7869949341, -0.2428,  0.1747, -0.0639,  0.1705,  0.0684,  0.0642
1492035718.7873699665,1492035718.7897810936, -0.2428,  0.1747, -0.0639,  0.1705,  0.0684,  0.0642
1492035718.7901630402,1492035718.7925779819, -0.2428,  0.1747, -0.0639,  0.1705,  0.0684,  0.0642
1492035718.7929530144,1492035718.7953650951, -0.2428,  0.1747, -0.0639,  0.1602,  0.0787,  0.0753
1492035718.7957379818,1492035718.7981491089, -0.2428,  0.1747, -0.0639,  0.1602,  0.0787,  0.0753
1492035718.7986800671,1492035718.8016889095, -0.2428,  0.1747, -0.0639,  0.1602,  0.0787,  0.0753
1492035718.8020639420,1492035718.8043580055, -0.2428,  0.1747, -0.0639,  0.1602,  0.0865,  0.0940
1492035718.8047270775,1492035718.8070280552, -0.1976,  0.0980, -0.0587,  0.1648,  0.0900,  0.0940
1492035718.8073990345,1492035718.8096990585, -0.1976,  0.0980, -0.0587,  0.1648,  0.0900,  0.0940
1492035718.8101899624,1492035718.8124880791, -0.1976,  0.0980, -0.0587,  0.1648,  0.0900,  0.0940
1492035718.8128569126,1492035718.8151578903, -0.1976,  0.0980, -0.0587,  0.1436,  0.0931,  0.1132
1492035718.8155269623,1492035718.8178200722, -0.1976,  0.0980, -0.0587,  0.1436,  0.0931,  0.1132
1492035718.8181900978,1492035718.8206009865, -0.1976,  0.0980, -0.0587,  0.1436,  0.0931,  0.1132
1492035718.8209719658,1492035718.8232729435, -0.1976,  0.0980, -0.0587,  0.1436,  0.0931,  0.1132
1492035718.8236429691,1492035718.8259410858, -0.1758,  0.0210, -0.0298,  0.1128,  0.0916,  0.1210
1492035718.8263111115,1492035718.8286149502, -0.1758,  0.0210, -0.0298,  0.1128,  0.0916,  0.1210
1492035718.8289849758,1492035718.8312909603, -0.1758,  0.0210, -0.0298,  0.1128,  0.0916,  0.1210
1492035718.8316619396,1492035718.8339591026, -0.1758,  0.0210, -0.0298,  0.1128,  0.0916,  0.1210
1492035718.8343300819,1492035718.8366289139, -0.1758,  0.0210, -0.0298,  0.0849,  0.0915,  0.1258
1492035718.8369989395,1492035718.8392899036, -0.1758,  0.0210, -0.0298,  0.0849,  0.0915,  0.1258
1492035718.8396580219,1492035718.8420989513, -0.1758,  0.0210, -0.0298,  0.0849,  0.0915,  0.1258
1492035718.8424758911,1492035718.8449029922, -0.1758, -0.0219, -0.0102,  0.0849,  0.0915,  0.1258
1492035718.8452808857,1492035718.8477048874, -0.1336, -0.0219, -0.0102,  0.0662,  0.0823,  0.1209
1492035718.8480849266,1492035718.8505229950, -0.1336, -0.0219, -0.0102,  0.0662,  0.0823,  0.1209
1492035718.8509008884,1492035718.8533289433, -0.1336, -0.0219, -0.0102,  0.0662,  0.0823,  0.1209
1492035718.8537049294,1492035718.8561289310, -0.1336, -0.0219, -0.0102,  0.0662,  0.0697,  0.0533
1492035718.8565080166,1492035718.8589329720, -0.1336, -0.0219, -0.0102,  0.0442,  0.0697,  0.0533
1492035718.8593080044,1492035718.8617510796, -0.1336, -0.0219, -0.0102,  0.0442,  0.0697,  0.0533
1492035718.8621270657,1492035718.8645429611, -0.1336, -0.3812,  0.1506,  0.0442,  0.0697,  0.0533
1492035718.8649139404,1492035718.8672189713, -0.0407, -0.3758,  0.1506, -0.1694,  0.0436, -0.0319
1492035718.8675889969,1492035718.8698880672, -0.0407, -0.3758,  0.1506, -0.1694,  0.0436, -0.0319
1492035718.8702549934,1492035718.8725590706, -0.0407, -0.3758,  0.1506, -0.1694,  0.0436, -0.0319
1492035718.8729269505,1492035718.8752241135, -0.0407, -0.3758,  0.1506, -0.1694,  0.0436, -0.0319
1492035718.8755919933,1492035718.8778920174, -0.0407, -0.3758,  0.1506, -0.2657, -0.0394,  0.1126
1492035718.8782589436,1492035718.8807768822, -0.0407, -0.3758,  0.1506, -0.2657, -0.0394,  0.1126
1492035718.8811550140,1492035718.8835470676, -0.0407, -0.3758,  0.1506, -0.2657, -0.0394,  0.1126
1492035718.8839209080,1492035718.8864030838, -0.1310,  0.0233,  0.0027, -0.2657, -0.0394,  0.0622
1492035718.8867790699,1492035718.8891649246, -0.1310,  0.0233,  0.0027, -0.1501, -0.0212,  0.0622
1492035718.8903439045,1492035718.8927760124, -0.1310,  0.0233,  0.0027, -0.1501, -0.0212,  0.0622
1492035718.8931560516,1492035718.8955790997, -0.1310,  0.0233,  0.0027, -0.1501, -0.0212,  0.0622
1492035718.8959589005,1492035718.8983819485, -0.1310,  0.0233,  0.0027, -0.1994, -0.0135, -0.0475
1492035718.8987579346,1492035718.9011669159, -0.1310,  0.0233,  0.0027, -0.1994, -0.0135, -0.0475
1492035718.9015359879,1492035718.9038360119, -0.1310,  0.0233,  0.1389, -0.1994, -0.0135, -0.0475
1492035718.9042029381,1492035718.9065001011, -0.1939, -0.1120,  0.1389, -0.1994, -0.0135, -0.0475
1492035718.9068698883,1492035718.9091699123, -0.1939, -0.1120,  0.1389, -0.0885, -0.0309, -0.0952
1492035718.9095399380,1492035718.9119520187, -0.1939, -0.1120,  0.1389, -0.0885, -0.0309, -0.0952
1492035718.9124619961,1492035718.9148850441, -0.1939, -0.1120,  0.1389, -0.0885, -0.0309, -0.0952
1492035718.9152619839,1492035718.9176890850, -0.1939, -0.1120,  0.1389, -0.0885, -0.0543, -0.0699
1492035718.9180660248,1492035718.9204819202, -0.1939, -0.1120,  0.1389,  0.0083, -0.0524, -0.0699
1492035718.9208528996,1492035718.9231550694, -0.1939, -0.1120,  0.1389,  0.0083, -0.0524, -0.0699
1492035718.9235250950,1492035718.9258270264, -0.2358,  0.1986,  0.0134,  0.0083, -0.0524, -0.0699
