Accel X
P_i,P_t,P_x,T_i,T_t,T_p
371,1492035719.7112519741,0.064600,329,1492035719.5946469307,-0.706900
629,1492035720.4268391132,0.342400,571,1492035720.2660510540,-0.908400
857,1492035721.0604701042,0.200800,807,1492035720.9218111038,-0.743600
1107,1492035721.7530899048,0.317700,1049,1492035721.5931880474,-0.734300
1350,1492035722.4261240959,0.284100,1286,1492035722.2488160133,-0.834100
1592,1492035723.0976700783,0.274800,1542,1492035722.9591419697,-0.720600
1828,1492035723.7532129288,0.282700,1778,1492035723.6139500141,-0.910900
2077,1492035724.4442689419,0.201600,1963,1492035724.1275689602,-0.915400
2434,1492035725.4355909824,0.151200,2170,1492035724.7020740509,-0.994300
2648,1492035726.0286600590,-0.127700,2420,1492035725.3962950706,-0.999800
2898,1492035726.7238659859,-0.141000,2634,1492035725.9901878834,-0.730300
3147,1492035727.4152219296,-0.078700,2883,1492035726.6820919514,-0.831300
3425,1492035728.1869330406,0.316300,3133,1492035727.3764679432,-0.910100
3640,1492035728.7822749615,-0.089700,3418,1492035728.1674559116,-0.772800
3890,1492035729.4756009579,-0.102700,3619,1492035728.7237110138,-0.773500
4175,1492035730.2666649818,0.167400,3876,1492035729.4366309643,-0.951200
4390,1492035730.8618290424,-0.081900,4161,1492035730.2278439999,-0.918100
4645,1492035731.5737359524,-0.112700,4376,1492035730.8223330975,-0.675500
4945,1492035732.4058439732,0.095500,4631,1492035731.5352840424,-0.809800
,,,4895,1492035732.2670030594,-0.892100



Accel Y
P_i,P_t,P_x,T_i,T_t,T_p
436,1492035719.8913099766,0.901700,464,1492035719.9690148830,-0.541600
692,1492035720.6019039154,0.999800,771,1492035720.8215920925,-0.281800
920,1492035721.2356030941,0.992700,1084,1492035721.6914279461,-0.419800
1164,1492035721.9110438824,0.845700,1435,1492035722.6620399952,0.039600
1414,1492035722.6037530899,0.977200,1742,1492035723.5137319565,-0.470700
1657,1492035723.2774620056,0.999800,2056,1492035724.3858199120,-0.371300
1899,1492035723.9496641159,0.805000,2476,1492035725.5526480675,-0.363000
2142,1492035724.6242520809,0.995700,2727,1492035726.2483220100,-0.382600
2392,1492035725.3173348904,0.799000,2976,1492035726.9406731129,-0.338100
2641,1492035726.0098578930,0.896100,3168,1492035727.4734539986,-0.125000
2890,1492035726.7017710209,0.951000,3418,1492035728.1674559116,-0.054400
3133,1492035727.3764679432,0.886200,3711,1492035728.9799408913,-0.335100
3382,1492035728.0674810410,0.826900,4039,1492035729.8890299797,-0.343800
3661,1492035728.8407111168,0.882900,4466,1492035731.0778930187,-0.371800
3883,1492035729.4559860229,0.999800,4809,1492035732.0282170773,-0.249000
4125,1492035730.1286549568,0.864100,,,
4382,1492035730.8397030830,0.942200,,,
4638,1492035731.5542631149,0.836800,,,
4902,1492035732.2866439819,0.660400,,,



Accel Z
P_i,P_t,P_x,T_i,T_t,T_p
457,1492035719.9496450424,0.711400,707,1492035720.6436309814,-0.547700
714,1492035720.6633849144,0.886200,949,1492035721.3155028820,-0.473000
956,1492035721.3351221085,0.678900,1428,1492035722.6428399086,-0.401600
1199,1492035722.0073881149,0.452200,1671,1492035723.3164169788,-0.490300
1442,1492035722.6816880703,0.830300,1906,1492035723.9692020416,-0.391800
1685,1492035723.3554139137,0.418000,2434,1492035725.4355909824,-0.369400
1927,1492035724.0276150703,0.396900,2662,1492035726.0675671101,-0.343200
2170,1492035724.7020740509,0.672600,2926,1492035726.8016328812,-0.652900
2498,1492035725.6138920784,0.501500,3175,1492035727.4930729866,-0.715200
2912,1492035726.7626628876,0.696300,3425,1492035728.1869330406,-0.452100
3161,1492035727.4542829990,0.692400,3668,1492035728.8598749638,-0.692800
3411,1492035728.1485300064,0.466500,3890,1492035729.4756009579,-0.358200
3682,1492035728.8990418911,0.467900,4168,1492035730.2470269203,-0.540300
3911,1492035729.5340809822,0.803800,4416,1492035730.9402170181,-0.846900
4161,1492035730.2278439999,0.990500,4681,1492035731.6732900143,-0.445500
4410,1492035730.9209890366,0.531100,4952,1492035732.4253129959,-0.721100
4666,1492035731.6321060658,0.397200,,,
4930,1492035732.3639988899,0.924200,,,



Gyro X
P_i,P_t,P_x,T_i,T_t,T_p
544,1492035720.1936550140,0.330600,340,1492035719.6276440620,-0.584200
729,1492035720.7074580193,0.570300,562,1492035720.2432360649,-0.358200
981,1492035721.4068889618,0.465400,796,1492035720.8933498859,-0.442100
1230,1492035722.0961399078,0.540200,1033,1492035721.5510559082,-0.426700
1467,1492035722.7536981106,0.496800,1282,1492035722.2404520512,-0.426400
1668,1492035723.3107089996,0.394800,1523,1492035722.9087729454,-0.513500
1931,1492035724.0412518978,0.314300,1764,1492035723.5772819519,-0.427500
2198,1492035724.7817540169,0.505300,2005,1492035724.2469460964,-0.518300
2431,1492035725.4296009541,0.663800,2254,1492035724.9370610714,-0.680800
2654,1492035726.0479040146,0.327300,2487,1492035725.5856399536,-0.437100
2942,1492035726.8485319614,0.529700,2672,1492035726.0979440212,-0.289100
3195,1492035727.5507659912,0.660600,2998,1492035727.0041759014,-0.556200
3428,1492035728.1978731155,0.468500,3250,1492035727.7033650875,-0.311800
3666,1492035728.8566970825,0.598100,3435,1492035728.2170639038,-0.191000
3937,1492035729.6082470417,0.714800,3673,1492035728.8763499260,-0.379500
4167,1492035730.2466509342,0.433700,3907,1492035729.5252890587,-0.415100
4432,1492035730.9867529869,0.476600,4174,1492035730.2662909031,-0.735600
4636,1492035731.5512290001,0.171600,4405,1492035730.9051110744,-0.416700
4930,1492035732.3664159775,0.469200,4659,1492035731.6149139404,-0.479900
,,,4944,1492035732.4054749012,-0.409700



Gyro Y
P_i,P_t,P_x,T_i,T_t,T_p
588,1492035720.3158440590,0.532000,417,1492035719.8415439129,-0.371100
821,1492035720.9630200863,0.419300,677,1492035720.5626831055,-0.834400
1066,1492035721.6423320770,0.452100,903,1492035721.1906509399,-0.597100
1449,1492035722.7035839558,0.869000,1145,1492035721.8599150181,-0.615200
1694,1492035723.3829119205,0.776600,1397,1492035722.5586769581,-0.533100
1931,1492035724.0412518978,0.998500,1645,1492035723.2471449375,-0.619500
2176,1492035724.7209548950,0.932900,1879,1492035723.8969559669,-0.597500
2427,1492035725.4184069633,0.799100,2127,1492035724.5851719379,-0.506800
2680,1492035726.1201000214,0.797800,2365,1492035725.2449250221,-0.527700
2924,1492035726.7983729839,0.898100,2617,1492035725.9452619553,-0.485700
3176,1492035727.4984099865,0.908300,2872,1492035726.6539649963,-0.570100
3424,1492035728.1865561008,0.812400,3117,1492035727.3344600201,-0.654200
3669,1492035728.8651158810,0.803300,3358,1492035728.0033860207,-0.579500
3922,1492035729.5664420128,0.949400,3610,1492035728.7008829117,-0.649400
4167,1492035730.2466509342,0.842400,3855,1492035729.3810720444,-0.634900
4413,1492035730.9343950748,0.814900,4107,1492035730.0809988976,-0.536400
4677,1492035731.6646440029,0.812100,4356,1492035730.7699260712,-0.632000
4933,1492035732.3749248981,0.688000,4614,1492035731.4904730320,-0.615700
,,,4874,1492035732.2108769417,-0.662100



Gyro Z
P_i,P_t,P_x,T_i,T_t,T_p
469,1492035719.9853401184,0.799200,413,1492035719.8303101063,-0.884400
721,1492035720.6849880219,0.974800,673,1492035720.5514578819,-1.000000
962,1492035721.3540520668,0.935900,899,1492035721.1794359684,-1.000000
1207,1492035722.0322470665,0.994600,1141,1492035721.8486840725,-1.000000
1452,1492035722.7117009163,0.964600,1389,1492035722.5366721153,-1.000000
1693,1492035723.3801100254,0.994700,1634,1492035723.2162549496,-1.000000
1923,1492035724.0188488960,0.983500,1875,1492035723.8860950470,-1.000000
2168,1492035724.6988968849,0.906800,2120,1492035724.5657610893,-1.000000
2424,1492035725.4100370407,0.965600,2350,1492035725.2033019066,-0.982600
2683,1492035726.1285080910,0.994600,2594,1492035725.8816769123,-1.000000
2913,1492035726.7679030895,0.868100,2842,1492035726.5708410740,-1.000000
3161,1492035727.4567120075,0.943400,3098,1492035727.2815730572,-1.000000
3424,1492035728.1865561008,0.972700,3354,1492035727.9923338890,-1.000000
3654,1492035728.8235371113,0.958800,3577,1492035728.6090800762,-1.000000
3910,1492035729.5337049961,0.976300,3833,1492035729.3197350502,-1.000000
4159,1492035730.2246649265,0.974200,4077,1492035729.9973309040,-1.000000
4404,1492035730.9023098946,0.940500,4334,1492035730.7085289955,-1.000000
4662,1492035731.6233260632,0.985000,4588,1492035731.4179139137,-1.000000
4933,1492035732.3749248981,0.869800,4874,1492035732.2108769417,-1.000000



