Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
414,1492035719.8306860924,0.053200
494,1492035720.0524330139,0.089800
664,1492035720.5239460468,0.067600
786,1492035720.8632440567,0.000000
899,1492035721.1770091057,0.043900
1093,1492035721.7155671120,-0.005400
1143,1492035721.8518741131,0.070700
1443,1492035722.6844880581,0.076200
1378,1492035722.5035760403,-0.050000
1764,1492035723.5748579502,0.088300
1621,1492035723.1777029037,-0.001600
2071,1492035724.4274361134,0.004900
1870,1492035723.8696680069,0.050900
2480,1492035725.5638620853,0.030800
2113,1492035724.5439960957,0.089000
2742,1492035726.2899210453,-0.087900
2349,1492035725.1980600357,0.044400
2991,1492035726.9823260307,0.023700
2591,1492035725.8713500500,-0.007300
3198,1492035727.5567541122,-0.045800
2855,1492035726.6044321060,0.059600
3426,1492035728.1897280216,-0.076500
3111,1492035727.3153851032,0.051100
3715,1492035728.9907639027,-0.077000
3347,1492035727.9704749584,0.042000
4043,1492035729.9003479481,-0.094100
3590,1492035728.6430380344,0.013100
4481,1492035731.1195530891,-0.051700
3854,1492035729.3758380413,0.001100
4825,1492035732.0722060204,-0.034700
4096,1492035730.0481469631,0.045700
4953,1492035732.4281110764,0.015900
4347,1492035730.7425999641,0.075000
4953,1492035732.4281110764,0.015900
4609,1492035731.4740469456,0.087900
4953,1492035732.4281110764,0.015900
4866,1492035732.1864480972,0.069500
4953,1492035732.4281110764,0.015900



Accel Z
S_i,S_t,S_x
450,1492035719.9300270081,-0.235100
722,1492035720.6853649616,-0.259800
699,1492035720.6215679646,-0.383600
964,1492035721.3572289944,-0.255600
935,1492035721.2767300606,-0.241100
1432,1492035722.6538889408,-0.320900
1192,1492035721.9881389141,-0.277400
1675,1492035723.3276309967,-0.345400
1435,1492035722.6620399952,-0.320900
1910,1492035723.9804639816,-0.257400
1678,1492035723.3360381126,-0.345400
2649,1492035726.0314500332,-0.215500
1913,1492035723.9887349606,-0.257400
2877,1492035726.6652610302,-0.250000
2163,1492035724.6824529171,-0.293900
2977,1492035726.9434840679,-0.201600
2434,1492035725.4355909824,-0.369400
3226,1492035727.6346540451,-0.255200
2904,1492035726.7406840324,-0.375600
3619,1492035728.7237110138,-0.253700
3147,1492035727.4152219296,-0.318600
3876,1492035729.4366309643,-0.232000
3389,1492035728.0872759819,-0.262300
3894,1492035729.4868240356,-0.355700
3640,1492035728.7822749615,-0.355700
4362,1492035730.7838099003,-0.256700
3904,1492035729.5144209862,-0.284100
4467,1492035731.0806839466,-0.252300
4153,1492035730.2054159641,-0.256200
4739,1492035731.8341400623,-0.339600
4397,1492035730.8810949326,-0.270000
4659,1492035731.6124858856,-0.201800
4916,1492035732.3249289989,-0.375100



Gyro X
S_i,S_t,S_x
321,1492035719.5745749474,-0.060000
552,1492035720.2158079147,-0.031300
558,1492035720.2319800854,-0.066100
733,1492035720.7186660767,-0.038300
784,1492035720.8600571156,-0.050900
997,1492035721.4513070583,0.048200
1025,1492035721.5291080475,0.009400
1246,1492035722.1408300400,0.060100
1274,1492035722.2184989452,0.050400
1505,1492035722.8588209152,-0.033800
1516,1492035722.8891329765,-0.098300
1673,1492035723.3244519234,-0.000800
