Accel X
P_i,P_t,P_x,T_i,T_t,T_p
336,1492035553.2421300411,0.069900,429,1492035553.4997310638,-0.963800
587,1492035553.9363050461,0.179400,651,1492035554.1137139797,-0.795100
837,1492035554.6304049492,0.233000,894,1492035554.7881290913,-0.871200
1079,1492035555.3024671078,0.247200,1137,1492035555.4626729488,-0.794300
1308,1492035555.9368989468,0.154000,1373,1492035556.1168880463,-0.973800
1551,1492035556.6105449200,0.133200,1615,1492035556.7888040543,-0.881700
1801,1492035557.3049819469,0.079000,1866,1492035557.4843449593,-0.775500
2044,1492035557.9785170555,0.183400,2108,1492035558.1564629078,-0.803300
2294,1492035558.6728069782,0.178300,2351,1492035558.8308639526,-0.669800
2537,1492035559.3471140862,0.175200,2601,1492035559.5244328976,-0.766300
2786,1492035560.0385789871,0.164400,2850,1492035560.2174370289,-0.746400
3036,1492035560.7332029343,0.177000,3100,1492035560.9113399982,-0.649500
3286,1492035561.4270949364,0.164200,3343,1492035561.5854129791,-0.830800
3522,1492035562.0816850662,0.175700,3586,1492035562.2587790489,-0.893300
3772,1492035562.7742590904,0.187200,3829,1492035562.9325048923,-0.844600
4022,1492035563.4668478966,0.157500,4087,1492035563.6467530727,-0.742500
4273,1492035564.1625249386,0.150700,4337,1492035564.3402769566,-0.700900
4530,1492035564.8755700588,0.185400,4587,1492035565.0336470604,-0.841300
4787,1492035565.5891098976,0.123200,4843,1492035565.7460219860,-0.735900
5045,1492035566.3011159897,0.089500,5109,1492035566.4797670841,-0.729900



Accel Y
P_i,P_t,P_x,T_i,T_t,T_p
408,1492035553.4412510395,0.782600,529,1492035553.7763030529,-0.412300
658,1492035554.1330630779,0.960400,744,1492035554.3723299503,-0.361900
901,1492035554.8072919846,0.907900,1058,1492035555.2442569733,-0.360600
1144,1492035555.4823179245,0.982700,1273,1492035555.8394570351,-0.347700
1380,1492035556.1363370419,0.997100,1458,1492035556.3526759148,-0.428600
1622,1492035556.8079578876,0.902000,1708,1492035557.0470819473,-0.312700
1872,1492035557.5014269352,0.861800,1894,1492035557.5624549389,-0.063000
2115,1492035558.1756510735,0.898700,2137,1492035558.2365520000,0.034500
2365,1492035558.8692929745,0.886700,2387,1492035558.9306349754,-0.056200
2608,1492035559.5438508987,0.886400,2765,1492035559.9796969891,-0.308400
2857,1492035560.2369940281,0.915800,2879,1492035560.2982399464,-0.158500
3114,1492035560.9502139091,0.747900,3243,1492035561.3078930378,-0.398800
3350,1492035561.6048190594,0.982800,3436,1492035561.8432009220,-0.383600
3593,1492035562.2780590057,0.882700,3679,1492035562.5165081024,-0.339200
3836,1492035562.9516730309,0.905200,3929,1492035563.2090020180,-0.313800
4094,1492035563.6662609577,0.986000,4251,1492035564.1016390324,-0.298900
4344,1492035564.3599169254,0.823600,4501,1492035564.7948410511,-0.292900
4601,1492035565.0726609230,0.851300,4687,1492035565.3107268810,-0.285800
4850,1492035565.7655169964,0.755100,5030,1492035566.2599589825,-0.291600
5131,1492035566.5397241116,0.727200,,,



Accel Z
P_i,P_t,P_x,T_i,T_t,T_p
501,1492035553.6982779503,0.413900,436,1492035553.5189011097,-0.364100
744,1492035554.3723299503,0.541200,701,1492035554.2527589798,-0.320500
1172,1492035555.5600330830,0.639200,894,1492035554.7881290913,-0.381900
1401,1492035556.1941449642,0.737400,1179,1492035555.5796511173,-0.506900
1651,1492035556.8885550499,0.749300,1394,1492035556.1752300262,-0.498900
1901,1492035557.5815980434,0.450300,1629,1492035556.8276269436,-0.500300
2387,1492035558.9306349754,0.577600,1915,1492035557.6204760075,-0.767100
2637,1492035559.6240251064,0.745000,2151,1492035558.2754259109,-0.437500
3129,1492035560.9914710522,0.838800,2401,1492035558.9690830708,-0.452300
3378,1492035561.6821320057,0.876400,2629,1492035559.6018660069,-0.394800
3614,1492035562.3365468979,0.653900,2900,1492035560.3561370373,-0.681700
3865,1492035563.0317969322,0.453500,3150,1492035561.0500669479,-0.637600
4122,1492035563.7442669868,0.283700,3364,1492035561.6433360577,-0.456800
4372,1492035564.4370439053,0.478500,3607,1492035562.3170940876,-0.482700
4629,1492035565.1497559547,0.718100,3879,1492035563.0705010891,-0.493100
4879,1492035565.8449559212,0.416400,4129,1492035563.7631919384,-0.507600
5152,1492035566.5978391171,0.988700,4608,1492035565.0918309689,-0.375500
,,,4864,1492035565.8040978909,-0.389500
,,,5174,1492035566.6575119495,-0.823900



Gyro X
P_i,P_t,P_x,T_i,T_t,T_p
511,1492035553.7286241055,0.438500,299,1492035553.1420860291,-0.637400
700,1492035554.2523889542,0.550600,529,1492035553.7786140442,-0.441700
941,1492035554.9212288857,0.492100,771,1492035554.4496889114,-0.327100
1231,1492035555.7252891064,0.520700,1008,1492035555.1078660488,-0.361800
1461,1492035556.3635149002,0.533600,1249,1492035555.7753129005,-0.257700
1664,1492035556.9269618988,0.575400,1483,1492035556.4248600006,-0.307100
1883,1492035557.5341889858,0.198500,1672,1492035556.9495570660,-0.416900
2169,1492035558.3275101185,0.429700,1906,1492035557.5976560116,-0.417700
2362,1492035558.8633029461,0.303600,2224,1492035558.4807240963,-0.362800
2666,1492035559.7073090076,0.416900,2406,1492035558.9852960110,-0.223000
2913,1492035560.3943700790,0.795800,2632,1492035559.6126298904,-0.453300
3143,1492035561.0328440666,0.564400,2973,1492035560.5609900951,-0.507300
3392,1492035561.7232789993,0.696200,3217,1492035561.2380619049,-0.427000
3622,1492035562.3613820076,0.528600,3462,1492035561.9176859856,-0.234100
3848,1492035562.9874980450,0.387900,3767,1492035562.7626640797,-0.516700
4153,1492035563.8326420784,0.637000,4119,1492035563.7384788990,-0.535500
4394,1492035564.5003380775,0.362400,4461,1492035564.6864819527,-0.284700
4654,1492035565.2219278812,0.411500,4713,1492035565.3856720924,-0.202500
4890,1492035565.8780028820,0.368400,4985,1492035566.1385331154,-0.454300
5152,1492035566.6001520157,0.372800,5178,1492035566.6712450981,-0.692800



Gyro Y
P_i,P_t,P_x,T_i,T_t,T_p
552,1492035553.8416550159,0.464100,388,1492035553.3885679245,-0.329100
793,1492035554.5104749203,0.485200,637,1492035554.0769801140,-0.520600
1033,1492035555.1775801182,0.489600,874,1492035554.7348620892,-0.547800
1271,1492035555.8362829685,0.347700,1119,1492035555.4153370857,-0.480400
1512,1492035556.5049130917,0.338800,1360,1492035556.0831758976,-0.595400
1757,1492035557.1852600574,0.407400,1601,1492035556.7519779205,-0.568200
2009,1492035557.8836770058,0.408100,1850,1492035557.4421129227,-0.574600
2247,1492035558.5447499752,0.394800,2095,1492035558.1227300167,-0.603400
2499,1492035559.2440729141,0.373800,2336,1492035558.7910900116,-0.553900
2751,1492035559.9435479641,0.394200,2588,1492035559.4904389381,-0.605700
2965,1492035560.5384829044,0.308000,2839,1492035560.1894600391,-0.539900
3147,1492035561.0440659523,0.906000,3095,1492035560.8997581005,-0.543700
3388,1492035561.7125670910,0.925900,3329,1492035561.5489389896,-0.539400
3626,1492035562.3720541000,0.899600,3573,1492035562.2258560658,-0.600500
3871,1492035563.0510020256,0.911300,3819,1492035562.9068739414,-0.583700
4112,1492035563.7188398838,0.323400,4071,1492035563.6048319340,-0.597200
4383,1492035564.4703130722,0.881000,4316,1492035564.2842860222,-0.565500
4639,1492035565.1803529263,0.907600,4576,1492035565.0053949356,-0.589400
4861,1492035565.7981090546,0.219900,4831,1492035565.7151019573,-0.665000
,,,5092,1492035566.4345130920,-0.622500



Gyro Z
P_i,P_t,P_x,T_i,T_t,T_p
436,1492035553.5212728977,0.789000,377,1492035553.3581960201,-0.768300
692,1492035554.2300739288,0.945800,604,1492035553.9857409000,-0.999900
937,1492035554.9099690914,0.885100,848,1492035554.6632409096,-1.000000
1182,1492035555.5904901028,0.990000,1108,1492035555.3846950531,-1.000000
1401,1492035556.1965689659,0.925400,1342,1492035556.0333590508,-1.000000
1668,1492035556.9381771088,0.969100,1579,1492035556.6910419464,-1.000000
1913,1492035557.6172978878,0.981800,1828,1492035557.3814690113,-1.000000
2154,1492035558.2862739563,0.982100,2061,1492035558.0282878876,-0.999900
2391,1492035558.9438920021,0.876000,2321,1492035558.7494299412,-1.000000
2647,1492035559.6545081139,0.982200,2558,1492035559.4080650806,-1.000000
2902,1492035560.3638260365,0.985600,2817,1492035560.1281940937,-1.000000
3132,1492035561.0023140907,0.723700,3050,1492035560.7744789124,-0.996200
3377,1492035561.6817560196,0.823900,3314,1492035561.5073089600,-1.000000
3625,1492035562.3693840504,0.990700,3544,1492035562.1454520226,-1.000000
3878,1492035563.0701279640,0.939500,3789,1492035562.8239068985,-1.000000
4115,1492035563.7272551060,0.828800,4041,1492035563.5216848850,-0.995800
4383,1492035564.4703130722,0.906200,4298,1492035564.2341470718,-1.000000
4639,1492035565.1803529263,0.885300,4546,1492035564.9220569134,-1.000000
4894,1492035565.8894848824,0.989400,4805,1492035565.6412279606,-1.000000
5159,1492035566.6193699837,0.962700,5074,1492035566.3844540119,-0.986300



