Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
379,1492035553.3614130020,0.074900
533,1492035553.7871110439,-0.038200
623,1492035554.0361180305,0.033400
748,1492035554.3835380077,-0.083700
873,1492035554.7296199799,0.089100
1066,1492035555.2664570808,-0.080400
1108,1492035555.3824028969,0.076800
1309,1492035555.9397010803,0.038500
1344,1492035556.0365419388,0.037600
1474,1492035556.3971450329,-0.022000
1587,1492035556.7106459141,0.083800
1723,1492035557.0883049965,0.053000
1830,1492035557.3845200539,0.097700
1917,1492035557.6258139610,-0.017400
2080,1492035558.0787489414,-0.002600
2145,1492035558.2590360641,0.086800
2330,1492035558.7722589970,0.031200
2395,1492035558.9526839256,0.027600
2579,1492035559.4639499187,0.068800
2780,1492035560.0217471123,-0.009300
2829,1492035560.1594729424,0.088200
2901,1492035560.3588109016,-0.067400
3071,1492035560.8306739330,0.090500
3272,1492035561.3883290291,-0.076900
3314,1492035561.5048849583,0.026400
3440,1492035561.8544270992,-0.018500
3550,1492035562.1598680019,-0.007900
3701,1492035562.5784399509,0.018000
3815,1492035562.8935201168,0.071400
3933,1492035563.2202110291,0.069500
4058,1492035563.5666089058,0.015900
4259,1492035564.1234660149,-0.087000
4308,1492035564.2598850727,0.006200
4516,1492035564.8365468979,-0.023400
4565,1492035564.9730410576,0.068800
4702,1492035565.3523600101,-0.077100
4821,1492035565.6854979992,0.034900
5039,1492035566.2847249508,-0.057600
5081,1492035566.4012238979,-0.064800
5156,1492035566.6088340282,0.092000



Accel Z
S_i,S_t,S_x
432,1492035553.5081241131,-0.364100
652,1492035554.1163840294,-0.225700
697,1492035554.2416749001,-0.320500
880,1492035554.7493469715,-0.239900
890,1492035554.7769219875,-0.381900
1180,1492035555.5824639797,-0.262100
1165,1492035555.5407140255,-0.297300
1609,1492035556.7720010281,-0.212500
1380,1492035556.1363370419,-0.354700
1852,1492035557.4452910423,-0.271900
1622,1492035556.8079578876,-0.240800
1959,1492035557.7423179150,-0.212600
1894,1492035557.5624549389,-0.209300
2402,1492035558.9718620777,-0.230700
2137,1492035558.2365520000,-0.216800
2851,1492035560.2201139927,-0.210000
2386,1492035558.9278450012,-0.344200
3151,1492035561.0528719425,-0.209300
2625,1492035559.5910789967,-0.394800
3382,1492035561.6933391094,-0.398100
2878,1492035560.2954430580,-0.212800
3680,1492035562.5191860199,-0.216500
3128,1492035560.9886550903,-0.340900
3869,1492035563.0430090427,-0.369000
3350,1492035561.6048190594,-0.252400
4145,1492035563.8077390194,-0.214600
3600,1492035562.2977519035,-0.373800
4380,1492035564.4594640732,-0.359400
3872,1492035563.0513689518,-0.369000
4633,1492035565.1610059738,-0.381800
4108,1492035563.7051579952,-0.362400
4604,1492035565.0810420513,-0.375500



Gyro X
S_i,S_t,S_x
284,1492035553.1003379822,-0.074600
516,1492035553.7426431179,-0.015300
522,1492035553.7594630718,0.043200
705,1492035554.2660698891,-0.008400
763,1492035554.4277191162,0.081800
990,1492035555.0577380657,0.070400
1000,1492035555.0854120255,0.056100
1239,1492035555.7477140427,0.065600
1242,1492035555.7558510303,0.065600
1473,1492035556.3967700005,-0.013700
1475,1492035556.4023749828,-0.013700
