timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1492035421.9214479923,1492035421.9248299599, -0.1743,  0.0262,  0.0106, -0.0006,  0.0111, -0.0181
1492035421.9252820015,1492035421.9275860786, -0.1895,  0.0303,  0.0070, -0.0006,  0.0111, -0.0181
1492035421.9279570580,1492035421.9302949905, -0.1895,  0.0303,  0.0070, -0.0006,  0.0111, -0.0181
1492035421.9306631088,1492035421.9329650402, -0.1895,  0.0303,  0.0070, -0.0006,  0.0091, -0.0183
1492035421.9333360195,1492035421.9356300831, -0.1895,  0.0303,  0.0070, -0.0025,  0.0091, -0.0183
1492035421.9360029697,1492035421.9382979870, -0.1895,  0.0303,  0.0070, -0.0025,  0.0091, -0.0183
1492035421.9386699200,1492035421.9411470890, -0.1895,  0.0303,  0.0070, -0.0025,  0.0091, -0.0183
1492035421.9415190220,1492035421.9438149929, -0.1895,  0.0303,  0.0070, -0.0085,  0.0077, -0.0174
1492035421.9441850185,1492035421.9464900494, -0.1739,  0.0352,  0.0070, -0.0085,  0.0077, -0.0174
1492035421.9468610287,1492035421.9491560459, -0.1747,  0.0352,  0.0070, -0.0085,  0.0077, -0.0174
1492035421.9495270252,1492035421.9519789219, -0.1747,  0.0352,  0.0070, -0.0085,  0.0077, -0.0174
1492035421.9523510933,1492035421.9546530247, -0.1747,  0.0352,  0.0070, -0.0119,  0.0056, -0.0185
1492035421.9550240040,1492035421.9573309422, -0.1747,  0.0352,  0.0070, -0.0119,  0.0056, -0.0185
1492035421.9577009678,1492035421.9600739479, -0.1747,  0.0352,  0.0070, -0.0119,  0.0056, -0.0185
1492035421.9604439735,1492035421.9627449512, -0.1747,  0.0352,  0.0070, -0.0119,  0.0056, -0.0185
1492035421.9631159306,1492035421.9654130936, -0.1747,  0.0352,  0.0070, -0.0106,  0.0063, -0.0208
1492035421.9657831192,1492035421.9680840969, -0.1884,  0.0423,  0.0018, -0.0106,  0.0063, -0.0208
1492035421.9684550762,1492035421.9708459377, -0.1884,  0.0423,  0.0018, -0.0106,  0.0063, -0.0208
1492035421.9712240696,1492035421.9736359119, -0.1884,  0.0423,  0.0018, -0.0106,  0.0063, -0.0222
1492035421.9740130901,1492035421.9764270782, -0.1884,  0.0423,  0.0018, -0.0128,  0.0045, -0.0222
1492035421.9768021107,1492035421.9792170525, -0.1884,  0.0423,  0.0018, -0.0128,  0.0045, -0.0222
1492035421.9795930386,1492035421.9820330143, -0.1884,  0.0423,  0.0018, -0.0128,  0.0045, -0.0222
1492035421.9824070930,1492035421.9847970009, -0.1884,  0.0423,  0.0018, -0.0154,  0.0031, -0.0233
1492035421.9851710796,1492035421.9875628948, -0.1955,  0.0315, -0.0002, -0.0154,  0.0031, -0.0233
1492035421.9879360199,1492035421.9903309345, -0.1955,  0.0315, -0.0002, -0.0154,  0.0031, -0.0233
1492035421.9907000065,1492035421.9930059910, -0.1955,  0.0315, -0.0002, -0.0154,  0.0031, -0.0233
1492035421.9933741093,1492035421.9956729412, -0.1955,  0.0315, -0.0002, -0.0203,  0.0024, -0.0225
1492035421.9960429668,1492035421.9983479977, -0.1955,  0.0315, -0.0002, -0.0203,  0.0024, -0.0225
1492035421.9987161160,1492035422.0011940002, -0.1955,  0.0315, -0.0002, -0.0203,  0.0024, -0.0225
1492035422.0015640259,1492035422.0038690567, -0.1955,  0.0315, -0.0002, -0.0203,  0.0024, -0.0225
1492035422.0042390823,1492035422.0066370964, -0.1873,  0.0136,  0.0260, -0.0244, -0.0026, -0.0202
1492035422.0070080757,1492035422.0093119144, -0.1873,  0.0136,  0.0260, -0.0244, -0.0026, -0.0202
1492035422.0096819401,1492035422.0121080875, -0.1873,  0.0136,  0.0260, -0.0244, -0.0026, -0.0202
1492035422.0124850273,1492035422.0149109364, -0.1873,  0.0136,  0.0260, -0.0244, -0.0026, -0.0216
1492035422.0152881145,1492035422.0177130699, -0.1873,  0.0136,  0.0260, -0.0208, -0.0054, -0.0216
1492035422.0180900097,1492035422.0205330849, -0.1873,  0.0136,  0.0260, -0.0208, -0.0054, -0.0216
1492035422.0209109783,1492035422.0233390331, -0.1873,  0.0136,  0.0260, -0.0208, -0.0054, -0.0216
1492035422.0237140656,1492035422.0261440277, -0.1886,  0.0177,  0.0179, -0.0146, -0.0060, -0.0233
1492035422.0265231133,1492035422.0289449692, -0.1886,  0.0177,  0.0179, -0.0146, -0.0060, -0.0233
1492035422.0293219090,1492035422.0317580700, -0.1886,  0.0177,  0.0179, -0.0146, -0.0060, -0.0233
1492035422.0321359634,1492035422.0345640182, -0.1886,  0.0177,  0.0179, -0.0146, -0.0060, -0.0233
1492035422.0349409580,1492035422.0373680592, -0.1886,  0.0177,  0.0179, -0.0150, -0.0105, -0.0232
1492035422.0378999710,1492035422.0403280258, -0.1886,  0.0177,  0.0179, -0.0150, -0.0105, -0.0232
1492035422.0406970978,1492035422.0430009365, -0.1886,  0.0177,  0.0179, -0.0150, -0.0105, -0.0232
1492035422.0433681011,1492035422.0456690788, -0.1851,  0.0179,  0.0291, -0.0150, -0.0105, -0.0235
1492035422.0460369587,1492035422.0483469963, -0.1851,  0.0179,  0.0291, -0.0107, -0.0086, -0.0235
1492035422.0487179756,1492035422.0511190891, -0.1851,  0.0179,  0.0291, -0.0107, -0.0086, -0.0235
1492035422.0514879227,1492035422.0537939072, -0.1851,  0.0179,  0.0291, -0.0107, -0.0086, -0.0235
1492035422.0541620255,1492035422.0564720631, -0.1851,  0.0179,  0.0291, -0.0107, -0.0035, -0.0233
1492035422.0568408966,1492035422.0591468811, -0.1851,  0.0179,  0.0291, -0.0022, -0.0035, -0.0233
1492035422.0595159531,1492035422.0620329380, -0.1851,  0.0179,  0.0291, -0.0022, -0.0035, -0.0233
1492035422.0624129772,1492035422.0648410320, -0.1851,  0.0179,  0.0334, -0.0022, -0.0035, -0.0233
1492035422.0652179718,1492035422.0676379204, -0.1883,  0.0186,  0.0334,  0.0053,  0.0002, -0.0237
1492035422.0680139065,1492035422.0704560280, -0.1883,  0.0186,  0.0334,  0.0053,  0.0002, -0.0237
1492035422.0708339214,1492035422.0732619762, -0.1883,  0.0186,  0.0334,  0.0053,  0.0002, -0.0237
1492035422.0736379623,1492035422.0760641098, -0.1883,  0.0186,  0.0334,  0.0053,  0.0002, -0.0237
1492035422.0764400959,1492035422.0788679123, -0.1883,  0.0186,  0.0334,  0.0072,  0.0047, -0.0235
1492035422.0792450905,1492035422.0816800594, -0.1883,  0.0186,  0.0334,  0.0072,  0.0047, -0.0235
1492035422.0820579529,1492035422.0844841003, -0.1883,  0.0186,  0.0273,  0.0072,  0.0047, -0.0235
1492035422.0848610401,1492035422.0872869492, -0.1876,  0.0151,  0.0273,  0.0072,  0.0047, -0.0221
1492035422.0876638889,1492035422.0900969505, -0.1876,  0.0151,  0.0273,  0.0046,  0.0068, -0.0221
1492035422.0904750824,1492035422.0929069519, -0.1876,  0.0151,  0.0273,  0.0046,  0.0068, -0.0221
1492035422.0932829380,1492035422.0957100391, -0.1876,  0.0151,  0.0273,  0.0046,  0.0068, -0.0221
1492035422.0960860252,1492035422.0985100269, -0.1876,  0.0151,  0.0273,  0.0030,  0.0078, -0.0189
1492035422.0988869667,1492035422.1013479233, -0.1876,  0.0151,  0.0273,  0.0030,  0.0078, -0.0189
1492035422.1017260551,1492035422.1041510105, -0.1876,  0.0151,  0.0273,  0.0030,  0.0078, -0.0189
1492035422.1045279503,1492035422.1069550514, -0.1852,  0.0112,  0.0280,  0.0030,  0.0078, -0.0189
1492035422.1073329449,1492035422.1097669601, -0.1852,  0.0112,  0.0280,  0.0020,  0.0070, -0.0175
1492035422.1101460457,1492035422.1124548912, -0.1852,  0.0112,  0.0280,  0.0020,  0.0070, -0.0175
1492035422.1128270626,1492035422.1151349545, -0.1852,  0.0112,  0.0280,  0.0020,  0.0070, -0.0175
1492035422.1155030727,1492035422.1178090572, -0.1852,  0.0112,  0.0280,  0.0020,  0.0070, -0.0152
1492035422.1181778908,1492035422.1205050945, -0.1852,  0.0112,  0.0280,  0.0014,  0.0076, -0.0152
1492035422.1208760738,1492035422.1231770515, -0.1852,  0.0112,  0.0280,  0.0014,  0.0076, -0.0152
1492035422.1235458851,1492035422.1258430481, -0.1842,  0.0212,  0.0289,  0.0014,  0.0076, -0.0152
1492035422.1262140274,1492035422.1285140514, -0.1842,  0.0212,  0.0289,  0.0014,  0.0081, -0.0146
1492035422.1288859844,1492035422.1313400269, -0.1842,  0.0212,  0.0289,  0.0008,  0.0081, -0.0146
1492035422.1317100525,1492035422.1340100765, -0.1842,  0.0212,  0.0289,  0.0008,  0.0081, -0.0146
1492035422.1343810558,1492035422.1367650032, -0.1842,  0.0212,  0.0289,  0.0008,  0.0081, -0.0146
1492035422.1371350288,1492035422.1394340992, -0.1842,  0.0212,  0.0289,  0.0060,  0.0101, -0.0157
1492035422.1406190395,1492035422.1430308819, -0.1842,  0.0212,  0.0289,  0.0060,  0.0101, -0.0157
