Accel X
P_i,P_t,P_x,T_i,T_t,T_p
409,1492035486.9193420410,-0.023200,410,1492035486.9221460819,-0.718500
709,1492035487.7525050640,0.100200,702,1492035487.7331829071,-0.802200
973,1492035488.4855489731,0.221100,959,1492035488.4465379715,-0.863300
1249,1492035489.2601640224,0.223900,1234,1492035489.2185299397,-0.754200
1656,1492035490.3900520802,0.088500,1506,1492035489.9732620716,-0.950900
1920,1492035491.1226298809,-0.027700,1763,1492035490.6862089634,-0.594800
2191,1492035491.8741331100,0.066400,2027,1492035491.4192509651,-0.908800
2456,1492035492.6088380814,0.111500,2256,1492035492.0541970730,-0.676300
2713,1492035493.3220028877,0.094500,2520,1492035492.7863540649,-0.618000
2984,1492035494.0739030838,0.095100,2784,1492035493.5189399719,-0.713100
3377,1492035495.1648130417,0.248400,3049,1492035494.2546789646,-0.669100
3648,1492035495.9172029495,0.194000,3363,1492035495.1260030270,-0.610200
3849,1492035496.5341310501,-0.127800,3634,1492035495.8778519630,-0.999800
4049,1492035497.0882461071,0.120300,3841,1492035496.5118091106,-0.667700
4320,1492035497.8400700092,0.124400,4156,1492035497.3851211071,-0.879000
4599,1492035498.6140289307,0.090300,4427,1492035498.1372408867,-0.970600
4863,1492035499.3468630314,0.096600,4699,1492035498.8911929131,-0.980000
5142,1492035500.1207659245,0.108700,4934,1492035499.5434660912,-0.698300
5414,1492035500.8726499081,0.115300,5249,1492035500.4172298908,-0.761400
5686,1492035501.6258471012,0.121600,5478,1492035501.0506889820,-0.651800
5965,1492035502.3984279633,0.069800,5750,1492035501.8031868935,-0.604900
,,,6072,1492035502.6943979263,-0.989900
,,,6351,1492035503.4692389965,-0.964000



Accel Y
P_i,P_t,P_x,T_i,T_t,T_p
388,1492035486.8614239693,0.547500,523,1492035487.2363450527,-0.203000
666,1492035487.6333909035,0.671000,766,1492035487.9108068943,-0.242400
930,1492035488.3658530712,0.821300,966,1492035488.4661390781,-0.215500
1205,1492035489.1385159492,0.627900,1241,1492035489.2381548882,-0.325500
1477,1492035489.8928499222,0.837200,1570,1492035490.1509160995,-0.222100
1741,1492035490.6253089905,0.811500,1770,1492035490.7056620121,-0.228600
1998,1492035491.3388259411,0.620200,2020,1492035491.4000709057,0.092600
2270,1492035492.0931379795,0.683000,2363,1492035492.3509569168,-0.278300
2527,1492035492.8060529232,0.862900,2549,1492035492.8673629761,-0.066200
2791,1492035493.5385611057,0.826400,2820,1492035493.6185638905,0.026600
3063,1492035494.2939620018,0.793000,3098,1492035494.3913528919,0.071600
3334,1492035495.0459570885,0.636000,3370,1492035495.1456370354,-0.236700
3605,1492035495.7977039814,0.857500,3749,1492035496.2561640739,-0.174800
3841,1492035496.5118091106,0.734500,4020,1492035497.0077319145,-0.214800
4120,1492035497.2854199409,0.753600,4227,1492035497.5827140808,-0.215800
4399,1492035498.0590879917,0.760000,4491,1492035498.3146500587,-0.199700
4670,1492035498.8110759258,0.724600,4706,1492035498.9108450413,-0.349300
4941,1492035499.5631198883,0.729200,4977,1492035499.6632440090,-0.343600
5213,1492035500.3175830841,0.669500,5249,1492035500.4172298908,-0.371600
5492,1492035501.0894839764,0.738700,5664,1492035501.5652039051,-0.202100
5764,1492035501.8419189453,0.759000,5943,1492035502.3377299309,-0.249800
6044,1492035502.6162590981,0.652900,6222,1492035503.1113929749,-0.191800
6322,1492035503.3887760639,0.696600,,,



Accel Z
P_i,P_t,P_x,T_i,T_t,T_p
416,1492035486.9385709763,0.715200,952,1492035488.4272170067,-0.489800
695,1492035487.7135329247,0.354700,980,1492035488.5049500465,-0.363600
959,1492035488.4465379715,0.285000,1491,1492035489.9311859608,-0.357600
1234,1492035489.2185299397,0.854600,1755,1492035490.6640770435,-0.380400
1505,1492035489.9705870152,0.353900,2019,1492035491.3972458839,-0.403100
1770,1492035490.7056620121,0.319400,2305,1492035492.1900699139,-0.345500
2027,1492035491.4192509651,0.638400,2570,1492035492.9255499840,-0.504200
2298,1492035492.1708691120,0.484600,3105,1492035494.4105999470,-0.703900
2563,1492035492.9061629772,0.821800,3377,1492035495.1648130417,-0.566400
2827,1492035493.6382141113,0.508900,3612,1492035495.8170220852,-0.365100
3362,1492035495.1231989861,0.861700,3855,1492035496.5506870747,-0.345700
3634,1492035495.8778519630,0.327800,4170,1492035497.4239161015,-0.501000
3877,1492035496.6119570732,0.474900,4399,1492035498.0590879917,-0.269700
4155,1492035497.3823208809,0.342000,4691,1492035498.8692018986,-0.552500
4427,1492035498.1372408867,0.557800,5234,1492035500.3756659031,-0.325800
4699,1492035498.8911929131,0.542300,6051,1492035502.6358659267,-0.372200
4970,1492035499.6435210705,0.843600,,,
5241,1492035500.3948259354,0.418600,,,
6072,1492035502.6943979263,0.665600,,,
6350,1492035503.4664380550,0.500200,,,



Gyro X
P_i,P_t,P_x,T_i,T_t,T_p
389,1492035486.8666489124,0.258900,278,1492035486.5586779118,-0.465500
679,1492035487.6715750694,0.308000,530,1492035487.2583110332,-0.302700
942,1492035488.4015660286,0.250200,853,1492035488.1544570923,-0.233800
1217,1492035489.1737489700,0.307800,1123,1492035488.9060668945,-0.258000
1517,1492035490.0062310696,0.456600,1339,1492035489.5125401020,-0.187600
1743,1492035490.6330380440,0.158800,1602,1492035490.2424240112,-0.298500
2043,1492035491.4657950401,0.460200,2025,1492035491.4162139893,-0.429100
2277,1492035492.1149809361,0.224000,2296,1492035492.1676828861,-0.267300
2544,1492035492.8556649685,0.278600,2559,1492035492.8973360062,-0.448400
2852,1492035493.7100560665,0.457500,2923,1492035493.9067718983,-0.305900
3059,1492035494.2853589058,0.213300,3249,1492035494.8116600513,-0.477800
3341,1492035495.0672469139,0.212000,3464,1492035495.4090321064,-0.388600
3660,1492035495.9528889656,0.362900,3709,1492035496.1485579014,-0.269200
3906,1492035496.6946399212,0.511100,4028,1492035497.0324540138,-0.342800
4136,1492035497.3318390846,0.209400,4255,1492035497.6622610092,-0.269900
4440,1492035498.1757481098,0.466200,4525,1492035498.4111449718,-0.219200
4681,1492035498.8435599804,0.227600,4804,1492035499.1852989197,-0.407300
4915,1492035499.4930310249,0.146900,5074,1492035499.9346649647,-0.245200
5097,1492035499.9982008934,0.387900,5349,1492035500.6968820095,-0.265600
5375,1492035500.7684190273,0.412000,5621,1492035501.4485681057,-0.219500
5647,1492035501.5201630592,0.416700,5899,1492035502.2186501026,-0.199200
5926,1492035502.2929179668,0.436500,6237,1492035503.1550180912,-0.412000
6334,1492035503.4244580269,0.245400,,,



Gyro Y
P_i,P_t,P_x,T_i,T_t,T_p
556,1492035487.3304159641,0.339000,352,1492035486.7640550137,-0.298200
830,1492035488.0908980370,0.336700,641,1492035487.5663468838,-0.431200
1097,1492035488.8335061073,0.328400,908,1492035488.3068950176,-0.426800
1368,1492035489.5926818848,0.321700,1179,1492035489.0683870316,-0.429600
1635,1492035490.3342049122,0.300100,1454,1492035489.8310699463,-0.427600
2017,1492035491.3941030502,0.284600,1710,1492035490.5421440601,-0.474000
2307,1492035492.1980938911,0.775600,1973,1492035491.2725279331,-0.472700
2551,1492035492.8751459122,0.192700,2244,1492035492.0234479904,-0.528600
2834,1492035493.6598238945,0.782800,2507,1492035492.7528100014,-0.439700
3082,1492035494.3489789963,0.285800,2770,1492035493.4825708866,-0.552300
3356,1492035495.1088020802,0.234900,3037,1492035494.2239089012,-0.511900
3623,1492035495.8497738838,0.363100,3308,1492035494.9757249355,-0.540900
3894,1492035496.6617019176,0.697000,3579,1492035495.7275099754,-0.480600
4143,1492035497.3515501022,0.149400,3820,1492035496.4559769630,-0.545700
4418,1492035498.1143810749,0.308100,4095,1492035497.2184801102,-0.531700
