Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
359,1492035486.7804489136,0.083600
527,1492035487.2474589348,-0.043200
638,1492035487.5555200577,0.070400
770,1492035487.9220240116,0.049100
902,1492035488.2880721092,-0.015600
974,1492035488.4882159233,0.093400
1170,1492035489.0410990715,0.057000
1249,1492035489.2601640224,0.008700
1448,1492035489.8123068810,0.066600
1574,1492035490.1621448994,0.028000
1713,1492035490.5479700565,0.078500
1778,1492035490.7277340889,-0.065000
1955,1492035491.2200219631,0.092700
2028,1492035491.4219810963,-0.034300
2234,1492035491.9934101105,0.060800
2378,1492035492.3926119804,-0.077900
2499,1492035492.7278790474,0.071000
2553,1492035492.8781819344,-0.063800
2756,1492035493.4412670135,0.072600
2835,1492035493.6602358818,-0.081700
3034,1492035494.2130548954,0.067200
3106,1492035494.4133720398,-0.020400
3298,1492035494.9457900524,0.077900
3378,1492035495.1676130295,-0.096000
3577,1492035495.7194790840,0.079900
3764,1492035496.2981419563,-0.041400
3820,1492035496.4536778927,0.051400
4028,1492035497.0301530361,-0.032500
4091,1492035497.2050280571,0.027700
4242,1492035497.6238360405,-0.039300
4370,1492035497.9790608883,0.074100
4514,1492035498.3783340454,-0.070900
4642,1492035498.7330770493,0.016700
4714,1492035498.9327979088,-0.004900
4913,1492035499.4849679470,0.066900
4985,1492035499.6852159500,0.009100
5184,1492035500.2368450165,0.075000
5264,1492035500.4588520527,0.000100
5457,1492035500.9919550419,0.049600
5668,1492035501.5762150288,-0.078500
5736,1492035501.7644050121,0.060600
5951,1492035502.3596880436,-0.045100
6015,1492035502.5363249779,0.088000
6230,1492035503.1331980228,-0.074100
6293,1492035503.3082768917,0.066900
6366,1492035503.5104460716,-0.003500



Accel Z
S_i,S_t,S_x
409,1492035486.9193420410,-0.270000
974,1492035488.4882159233,-0.363600
687,1492035487.6915359497,-0.288000
1206,1492035489.1412739754,-0.209200
944,1492035488.4047460556,-0.254800
1506,1492035489.9732620716,-0.318000
1227,1492035489.1989300251,-0.341800
1771,1492035490.7084751129,-0.220000
1491,1492035489.9311859608,-0.357600
2256,1492035492.0541970730,-0.211400
1755,1492035490.6640770435,-0.380400
2549,1492035492.8673629761,-0.297600
2012,1492035491.3778219223,-0.290900
2792,1492035493.5414168835,-0.295000
2291,1492035492.1516358852,-0.209000
3335,1492035495.0487658978,-0.341700
2556,1492035492.8865010738,-0.297600
3592,1492035495.7615370750,-0.219300
2806,1492035493.5798230171,-0.280700
3616,1492035495.8278439045,-0.280200
3355,1492035495.1038329601,-0.329800
3859,1492035496.5618999004,-0.344800
3620,1492035495.8389449120,-0.280200
4399,1492035498.0590879917,-0.269700
3870,1492035496.5923359394,-0.218800
4403,1492035498.0703489780,-0.267300
4141,1492035497.3435230255,-0.272400
4921,1492035499.5074169636,-0.213300
4420,1492035498.1175539494,-0.249700
5249,1492035500.4172298908,-0.285500
4677,1492035498.8297610283,-0.296800
6055,1492035502.6470899582,-0.257800
4963,1492035499.6242051125,-0.286200
6323,1492035503.3916189671,-0.335800
5234,1492035500.3756659031,-0.325800
6323,1492035503.3916189671,-0.335800
6058,1492035502.6552500725,-0.257800
