Accel X
P_i,P_t,P_x,T_i,T_t,T_p
257,1492035422.6373920441,-0.015000,363,1492035422.9322590828,-0.568400
528,1492035423.3892729282,-0.031200,642,1492035423.7063419819,-0.972600
928,1492035424.4994161129,0.184500,914,1492035424.4604709148,-0.985900
1199,1492035425.2520101070,0.051200,1192,1492035425.2327060699,-0.988700
1478,1492035426.0254240036,0.255300,1464,1492035425.9862680435,-0.962000
1749,1492035426.7773540020,0.016100,1742,1492035426.7576999664,-0.812000
2028,1492035427.5502569675,0.040300,2014,1492035427.5109310150,-0.914000
2292,1492035428.2830779552,0.281700,2278,1492035428.2442638874,-0.939000
2562,1492035429.0375170708,0.199400,2548,1492035428.9985449314,-0.939300
2833,1492035429.7906639576,0.249500,2819,1492035429.7517490387,-0.763900
3104,1492035430.5428860188,0.177200,3090,1492035430.5046460629,-0.934900
3377,1492035431.2974948883,0.250700,3362,1492035431.2559449673,-0.915500
3641,1492035432.0290288925,0.246300,3627,1492035431.9901258945,-0.949900
3906,1492035432.7620959282,0.149000,3892,1492035432.7231070995,-0.907400
4171,1492035433.4970650673,0.159500,4156,1492035433.4554350376,-0.818300
4585,1492035434.6446239948,0.112900,4421,1492035434.1905241013,-0.987700
4936,1492035435.6168999672,-0.070300,4693,1492035434.9439809322,-0.998400
5122,1492035436.1326251030,0.099700,4914,1492035435.5561990738,-0.625200
5514,1492035437.2220129967,0.236400,5186,1492035436.3102231026,-0.641100
5758,1492035437.8961620331,-0.071200,5500,1492035437.1830580235,-0.975600
6065,1492035438.7467091084,0.175500,5736,1492035437.8366210461,-0.588500
,,,6051,1492035438.7080891132,-0.990800
,,,6337,1492035439.5021378994,-0.968600



Accel Y
P_i,P_t,P_x,T_i,T_t,T_p
328,1492035422.8352589607,0.507100,435,1492035423.1312189102,-0.222400
599,1492035423.5867478848,0.508200,706,1492035423.8838820457,-0.241000
885,1492035424.3795480728,0.638900,978,1492035424.6376869678,-0.191400
1163,1492035425.1518170834,0.623700,1263,1492035425.4296400547,-0.237800
1435,1492035425.9056971073,0.742600,1471,1492035426.0057840347,-0.135700
1735,1492035426.7381548882,0.611700,1742,1492035426.7576999664,-0.097700
1978,1492035427.4112739563,0.701700,2014,1492035427.5109310150,-0.034900
2271,1492035428.2246229649,0.634200,2419,1492035428.6402809620,-0.186400
2519,1492035428.9175729752,0.661900,2619,1492035429.1959269047,-0.233900
2790,1492035429.6708209515,0.755200,2826,1492035429.7710409164,-0.103400
3061,1492035430.4234690666,0.707800,3154,1492035430.6804931164,-0.235100
3334,1492035431.1778740883,0.711100,3426,1492035431.4332070351,-0.234700
3591,1492035431.8905870914,0.658400,3619,1492035431.9682528973,0.083200
3863,1492035432.6426610947,0.740200,3892,1492035432.7231070995,-0.044000
4120,1492035433.3556129932,0.757700,4149,1492035433.4363920689,-0.063300
4385,1492035434.0904619694,0.704100,4406,1492035434.1485319138,0.099400
4650,1492035434.8250219822,0.715700,4757,1492035435.1208961010,-0.215000
4929,1492035435.5976600647,0.708900,5100,1492035436.0718150139,-0.220900
5193,1492035436.3298699856,0.750900,5293,1492035436.6075189114,-0.192400
5464,1492035437.0830569267,0.770600,5571,1492035437.3788700104,-0.196800
5743,1492035437.8559908867,0.727800,5780,1492035437.9557330608,-0.208500
6022,1492035438.6276390553,0.616000,6058,1492035438.7273740768,-0.463600
6315,1492035439.4414110184,0.609600,6336,1492035439.4993350506,-0.355800



Accel Z
P_i,P_t,P_x,T_i,T_t,T_p
913,1492035424.4576559067,0.551200,649,1492035423.7258510590,-0.435500
1463,1492035425.9835948944,0.402500,1206,1492035425.2712130547,-0.463600
1735,1492035426.7381548882,0.453700,1749,1492035426.7773540020,-0.395100
2078,1492035427.6888670921,0.321200,2540,1492035428.9761021137,-0.367400
2547,1492035428.9957430363,0.425600,2811,1492035429.7293438911,-0.421200
2818,1492035429.7490150928,0.953000,3096,1492035430.5211009979,-0.430100
3362,1492035431.2559449673,0.734000,3376,1492035431.2946910858,-0.469800
3627,1492035431.9901258945,0.686800,3641,1492035432.0290288925,-0.344800
3892,1492035432.7231070995,0.345900,3906,1492035432.7620959282,-0.344400
4156,1492035433.4554350376,0.722500,4170,1492035433.4942638874,-0.377300
5221,1492035436.4071691036,0.558800,4700,1492035434.9628379345,-0.513700
5499,1492035437.1803810596,0.775600,5492,1492035437.1607279778,-0.350500
5772,1492035437.9338560104,0.967600,5765,1492035437.9149661064,-0.498400
6051,1492035438.7080891132,0.841100,6065,1492035438.7467091084,-0.330700
6336,1492035439.4993350506,0.676200,,,



Gyro X
P_i,P_t,P_x,T_i,T_t,T_p
391,1492035423.0124230385,0.255500,221,1492035422.5400400162,-0.433900
617,1492035423.6392450333,0.239200,547,1492035423.4446380138,-0.218300
892,1492035424.4016408920,0.298800,795,1492035424.1331479549,-0.254900
1207,1492035425.2764360905,0.367400,1073,1492035424.9042520523,-0.311500
1445,1492035425.9357299805,0.293800,1363,1492035425.7091159821,-0.232400
1756,1492035426.7990889549,0.368000,1566,1492035426.2726759911,-0.280500
1994,1492035427.4577610493,0.247500,1897,1492035427.1894600391,-0.447700
