Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
299,1492035422.7548470497,0.080100
439,1492035423.1424388885,0.025500
549,1492035423.4478080273,0.075900
710,1492035423.8949470520,-0.019100
842,1492035424.2605741024,0.034400
1007,1492035424.7186100483,-0.064400
1128,1492035425.0549499989,0.080700
1278,1492035425.4712119102,-0.032200
1406,1492035425.8256499767,0.057000
1479,1492035426.0282180309,-0.037400
1678,1492035426.5804200172,0.073700
1757,1492035426.7994680405,0.037100
1950,1492035427.3336150646,0.079000
2029,1492035427.5529289246,-0.013300
2207,1492035428.0470690727,0.064600
2427,1492035428.6624190807,-0.050400
2476,1492035428.7987129688,0.076000
2641,1492035429.2569110394,-0.074500
2761,1492035429.5902531147,0.067400
2834,1492035429.7933409214,-0.006900
3032,1492035430.3439710140,0.076400
3158,1492035430.6917109489,0.007400
3298,1492035431.0781910419,0.046600
3430,1492035431.4445309639,-0.041500
3555,1492035431.7916190624,0.028300
3628,1492035431.9929299355,0.033000
3835,1492035432.5648460388,0.072900
3907,1492035432.7648940086,-0.016500
4099,1492035433.2976200581,0.098400
4164,1492035433.4778809547,0.070700
4349,1492035433.9910099506,0.055600
4429,1492035434.2120139599,-0.024000
4621,1492035434.7445321083,0.081000
4765,1492035435.1432790756,0.059700
4900,1492035435.5172529221,0.075600
5108,1492035436.0940790176,-0.071800
5172,1492035436.2712678909,0.069700
5322,1492035436.6881089211,0.028200
5429,1492035436.9845869541,0.012800
5575,1492035437.3896300793,0.096000
5714,1492035437.7753961086,0.034700
5788,1492035437.9778559208,0.038900
5994,1492035438.5498750210,0.081600
6066,1492035438.7493739128,-0.039800
6279,1492035439.3415639400,0.067100
6340,1492035439.5105919838,0.001900



Accel Z
S_i,S_t,S_x
627,1492035423.6645429134,-0.208700
921,1492035424.4797561169,-0.227800
1177,1492035425.1907329559,-0.214600
1471,1492035426.0057840347,-0.247800
1728,1492035426.7189190388,-0.260300
1979,1492035427.4139339924,-0.240300
2028,1492035427.5502569675,-0.257700
2555,1492035429.0178689957,-0.296000
2540,1492035428.9761021137,-0.367400
2826,1492035429.7710409164,-0.203100
2804,1492035429.7097399235,-0.295800
3100,1492035430.5322220325,-0.260700
3355,1492035431.2363040447,-0.346500
3599,1492035431.9131560326,-0.269000
3619,1492035431.9682528973,-0.335900
3699,1492035432.1896820068,-0.207000
3877,1492035432.6814179420,-0.239200
4114,1492035433.3388130665,-0.224700
4149,1492035433.4363920689,-0.336800
4386,1492035434.0931301117,-0.347000
4678,1492035434.9019539356,-0.212800
5237,1492035436.4519948959,-0.287600
5488,1492035437.1497108936,-0.350500
5744,1492035437.8586659431,-0.288700
5750,1492035437.8748009205,-0.288700
5776,1492035437.9447500706,-0.200200
6043,1492035438.6860959530,-0.370800
6301,1492035439.4024760723,-0.238400
6061,1492035438.7357699871,-0.330700



Gyro X
S_i,S_t,S_x
202,1492035422.4875299931,-0.034200
422,1492035423.0980899334,0.057700
506,1492035423.3308420181,-0.057800
626,1492035423.6640589237,0.061700
784,1492035424.1025691032,-0.039400
900,1492035424.4238879681,0.081300
1059,1492035424.8653709888,0.055200
1245,1492035425.3820710182,0.079500
