timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1492035166.3088510036,1492035166.3112409115, -0.1833, -0.0037,  0.0474,  0.0125,  0.0142, -0.0139
1492035166.3116979599,1492035166.3140010834, -0.2116, -0.0037,  0.0474,  0.0125,  0.0142, -0.0139
1492035166.3143711090,1492035166.3166720867, -0.2116, -0.0037,  0.0474,  0.0125,  0.0142, -0.0139
1492035166.3170399666,1492035166.3193430901, -0.2116, -0.0037,  0.0474,  0.0125,  0.0142, -0.0139
1492035166.3197140694,1492035166.3221380711, -0.2116, -0.0037,  0.0474,  0.0156,  0.0141, -0.0132
1492035166.3225090504,1492035166.3248140812, -0.1836, -0.0003,  0.0257,  0.0156,  0.0141, -0.0132
1492035166.3251829147,1492035166.3274810314, -0.1836, -0.0003,  0.0257,  0.0156,  0.0141, -0.0132
1492035166.3278501034,1492035166.3302659988, -0.1836, -0.0003,  0.0257,  0.0156,  0.0141, -0.0132
1492035166.3306369781,1492035166.3329420090, -0.1836, -0.0003,  0.0257,  0.0150,  0.0137, -0.0121
1492035166.3333098888,1492035166.3356049061, -0.1836, -0.0003,  0.0257,  0.0150,  0.0137, -0.0121
1492035166.3359758854,1492035166.3382709026, -0.1836, -0.0003,  0.0257,  0.0150,  0.0137, -0.0121
1492035166.3386399746,1492035166.3410129547, -0.1836, -0.0003,  0.0257,  0.0150,  0.0137, -0.0114
1492035166.3413820267,1492035166.3436849117, -0.1855,  0.0020,  0.0252,  0.0146,  0.0125, -0.0114
1492035166.3440530300,1492035166.3463559151, -0.1855,  0.0020,  0.0252,  0.0146,  0.0125, -0.0114
1492035166.3467259407,1492035166.3491830826, -0.1855,  0.0020,  0.0252,  0.0146,  0.0125, -0.0114
1492035166.3495550156,1492035166.3519389629, -0.1855,  0.0020,  0.0252,  0.0156,  0.0124, -0.0100
1492035166.3523170948,1492035166.3547201157, -0.1855,  0.0020,  0.0252,  0.0156,  0.0124, -0.0100
1492035166.3551180363,1492035166.3575520515, -0.1855,  0.0020,  0.0252,  0.0156,  0.0124, -0.0100
1492035166.3579308987,1492035166.3603460789, -0.1855,  0.0020,  0.0252,  0.0156,  0.0124, -0.0100
1492035166.3607199192,1492035166.3630309105, -0.1855,  0.0018,  0.0337,  0.0159,  0.0121, -0.0089
1492035166.3634018898,1492035166.3657009602, -0.1823,  0.0018,  0.0337,  0.0159,  0.0121, -0.0089
1492035166.3660728931,1492035166.3683791161, -0.1823,  0.0018,  0.0337,  0.0159,  0.0121, -0.0089
1492035166.3687510490,1492035166.3712050915, -0.1823,  0.0018,  0.0337,  0.0159,  0.0121, -0.0089
1492035166.3715779781,1492035166.3738820553, -0.1823,  0.0018,  0.0337,  0.0158,  0.0122, -0.0089
1492035166.3742530346,1492035166.3765609264, -0.1823,  0.0018,  0.0337,  0.0158,  0.0122, -0.0089
1492035166.3769309521,1492035166.3792328835, -0.1823,  0.0018,  0.0337,  0.0158,  0.0122, -0.0089
