timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1492035349.5890829563,1492035349.5924549103, -0.1852,  0.0117,  0.0221,  0.0063,  0.0037, -0.0205
1492035349.5929110050,1492035349.5952129364, -0.1852,  0.0103,  0.0231,  0.0063,  0.0037, -0.0205
1492035349.5955839157,1492035349.5978798866, -0.1843,  0.0103,  0.0231,  0.0063,  0.0037, -0.0205
1492035349.5982499123,1492035349.6008069515, -0.1843,  0.0103,  0.0231,  0.0058,  0.0034, -0.0209
1492035349.6011769772,1492035349.6034729481, -0.1843,  0.0103,  0.0231,  0.0058,  0.0034, -0.0209
1492035349.6038429737,1492035349.6061389446, -0.1843,  0.0103,  0.0231,  0.0058,  0.0034, -0.0209
1492035349.6065099239,1492035349.6088058949, -0.1843,  0.0103,  0.0231,  0.0058,  0.0034, -0.0209
1492035349.6091749668,1492035349.6115260124, -0.1843,  0.0103,  0.0231,  0.0054,  0.0043, -0.0207
1492035349.6118950844,1492035349.6141889095, -0.1843,  0.0103,  0.0231,  0.0054,  0.0043, -0.0207
1492035349.6145589352,1492035349.6168599129, -0.1851,  0.0094,  0.0261,  0.0054,  0.0043, -0.0207
1492035349.6172289848,1492035349.6195309162, -0.1851,  0.0094,  0.0261,  0.0054,  0.0043, -0.0198
1492035349.6199009418,1492035349.6222081184, -0.1851,  0.0094,  0.0261,  0.0042,  0.0060, -0.0198
1492035349.6225810051,1492035349.6248729229, -0.1851,  0.0094,  0.0261,  0.0042,  0.0060, -0.0198
1492035349.6252429485,1492035349.6275370121, -0.1851,  0.0094,  0.0261,  0.0042,  0.0060, -0.0198
1492035349.6279070377,1492035349.6302449703, -0.1851,  0.0094,  0.0261,  0.0042,  0.0060, -0.0198
1492035349.6306140423,1492035349.6329140663, -0.1851,  0.0094,  0.0261,  0.0062,  0.0071, -0.0198
1492035349.6332819462,1492035349.6355741024, -0.1836,  0.0148,  0.0261,  0.0062,  0.0071, -0.0198
1492035349.6359450817,1492035349.6382389069, -0.1836,  0.0148,  0.0261,  0.0062,  0.0071, -0.0198
1492035349.6386110783,1492035349.6411590576, -0.1836,  0.0148,  0.0261,  0.0071,  0.0070, -0.0215
1492035349.6415441036,1492035349.6439590454, -0.1836,  0.0148,  0.0261,  0.0071,  0.0070, -0.0215
1492035349.6443378925,1492035349.6467490196, -0.1836,  0.0148,  0.0261,  0.0071,  0.0070, -0.0215
1492035349.6471281052,1492035349.6495349407, -0.1836,  0.0148,  0.0261,  0.0071,  0.0070, -0.0215
1492035349.6499099731,1492035349.6523299217, -0.1836,  0.0148,  0.0261,  0.0050,  0.0072, -0.0236
1492035349.6527090073,1492035349.6551210880, -0.1836,  0.0091,  0.0283,  0.0050,  0.0072, -0.0236
1492035349.6554999352,1492035349.6579070091, -0.1858,  0.0091,  0.0283,  0.0050,  0.0072, -0.0236
1492035349.6582860947,1492035349.6607100964, -0.1858,  0.0091,  0.0283,  0.0050,  0.0072, -0.0292
1492035349.6610870361,1492035349.6635010242, -0.1858,  0.0091,  0.0283, -0.0012,  0.0058, -0.0292
1492035349.6638789177,1492035349.6663179398, -0.1858,  0.0091,  0.0283, -0.0012,  0.0058, -0.0292
1492035349.6667010784,1492035349.6691300869, -0.1858,  0.0091,  0.0283, -0.0012,  0.0058, -0.0292
1492035349.6695098877,1492035349.6718499660, -0.1858,  0.0091,  0.0283, -0.0055,  0.0042, -0.0306
1492035349.6722209454,1492035349.6745190620, -0.1858,  0.0080,  0.0206, -0.0055,  0.0042, -0.0306
1492035349.6748890877,1492035349.6771969795, -0.1836,  0.0080,  0.0206, -0.0055,  0.0042, -0.0306
1492035349.6775670052,1492035349.6798970699, -0.1836,  0.0080,  0.0206, -0.0055,  0.0042, -0.0306
1492035349.6802699566,1492035349.6826889515, -0.1836,  0.0080,  0.0206, -0.0060,  0.0025, -0.0312
1492035349.6830689907,1492035349.6854960918, -0.1836,  0.0080,  0.0206, -0.0060,  0.0025, -0.0312
1492035349.6858749390,1492035349.6882998943, -0.1836,  0.0080,  0.0206, -0.0060,  0.0025, -0.0312
1492035349.6886780262,1492035349.6911189556, -0.1836,  0.0080,  0.0206, -0.0060,  0.0025, -0.0312
1492035349.6914970875,1492035349.6939249039, -0.1836,  0.0080,  0.0192, -0.0068,  0.0018, -0.0318
1492035349.6943030357,1492035349.6967270374, -0.1862,  0.0105,  0.0192, -0.0068,  0.0018, -0.0318
1492035349.6971058846,1492035349.6995339394, -0.1862,  0.0105,  0.0192, -0.0068,  0.0018, -0.0318
1492035349.6999139786,1492035349.7022290230, -0.1862,  0.0105,  0.0192, -0.0068,  0.0018, -0.0325
1492035349.7026009560,1492035349.7048981190, -0.1862,  0.0105,  0.0192, -0.0015,  0.0040, -0.0325
1492035349.7054131031,1492035349.7077178955, -0.1862,  0.0105,  0.0192, -0.0015,  0.0040, -0.0325
1492035349.7080879211,1492035349.7105278969, -0.1862,  0.0105,  0.0192, -0.0015,  0.0040, -0.0325
1492035349.7108979225,1492035349.7132000923, -0.1862,  0.0105,  0.0192, -0.0011,  0.0079, -0.0279
1492035349.7135689259,1492035349.7158710957, -0.1806,  0.0112,  0.0283, -0.0011,  0.0079, -0.0279
1492035349.7162420750,1492035349.7185380459, -0.1806,  0.0112,  0.0283, -0.0011,  0.0079, -0.0279
1492035349.7189090252,1492035349.7213859558, -0.1806,  0.0112,  0.0283, -0.0011,  0.0079, -0.0279
1492035349.7217659950,1492035349.7241899967, -0.1806,  0.0112,  0.0283, -0.0046,  0.0060, -0.0266
1492035349.7245659828,1492035349.7269918919, -0.1806,  0.0112,  0.0283, -0.0046,  0.0060, -0.0266
