Accel X
P_i,P_t,P_x,T_i,T_t,T_p
487,1492035350.9398589134,-0.030000,480,1492035350.9207160473,-0.859900
780,1492035351.7528030872,0.075200,765,1492035351.7111849785,-0.812800
1058,1492035352.5242109299,0.230800,1044,1492035352.4852399826,-0.770100
1337,1492035353.2990200520,0.033200,1322,1492035353.2572700977,-0.861500
1615,1492035354.0713260174,0.025000,1600,1492035354.0298209190,-0.685700
1893,1492035354.8428540230,0.061400,1879,1492035354.8044490814,-0.812200
2173,1492035355.6175971031,0.008100,2166,1492035355.5981550217,-0.530800
2451,1492035356.3885300159,0.073200,2444,1492035356.3689661026,-0.656100
2730,1492035357.1616299152,0.220800,2716,1492035357.1228051186,-0.959300
3023,1492035357.9745199680,-0.074800,2995,1492035357.8965270519,-0.608000
3281,1492035358.6898820400,0.139000,3266,1492035358.6483340263,-0.990900
3559,1492035359.4612739086,0.024600,3545,1492035359.4218831062,-0.973800
3831,1492035360.2140669823,-0.053900,3824,1492035360.1946380138,-0.743000
4110,1492035360.9873209000,0.146500,4096,1492035360.9485759735,-0.952200
4389,1492035361.7616569996,0.046200,4374,1492035361.7204360962,-0.871600
4810,1492035362.9290161133,-0.064700,4646,1492035362.4737100601,-0.634000
5210,1492035364.0393459797,0.022400,4924,1492035363.2456200123,-0.590100
5487,1492035364.8116168976,0.084000,5196,1492035364.0005419254,-0.795100
5931,1492035366.0412409306,-0.019300,5473,1492035364.7726829052,-0.834500
6324,1492035367.1309928894,0.051600,5752,1492035365.5456779003,-0.516600
6603,1492035367.9037621021,0.063500,6031,1492035366.3189229965,-0.681200
6879,1492035368.6780660152,0.079700,6310,1492035367.0920600891,-0.923500
7436,1492035370.2238650322,0.033600,6589,1492035367.8647940159,-0.520300
7707,1492035370.9754660130,0.092500,6864,1492035368.6369199753,-0.885200
7979,1492035371.7304079533,0.096300,7421,1492035370.1822340488,-0.685200
,,,7693,1492035370.9367549419,-0.973800
,,,7971,1492035371.7079460621,-0.539000
,,,8535,1492035373.2733058929,-0.556500



Accel Y
P_i,P_t,P_x,T_i,T_t,T_p
772,1492035351.7303900719,0.457700,873,1492035352.0101139545,-0.147900
1058,1492035352.5242109299,0.520500,1180,1492035352.8624670506,-0.163600
1280,1492035353.1402509212,0.514000,1465,1492035353.6548390388,-0.165600
1565,1492035353.9323430061,0.467400,1708,1492035354.3292078972,-0.190100
1836,1492035354.6849761009,0.501100,2022,1492035355.2005779743,-0.183500
2129,1492035355.4973568916,0.510300,2301,1492035355.9724760056,-0.125400
2409,1492035356.2716240883,0.591900,2558,1492035356.6854579449,-0.153900
2680,1492035357.0230059624,0.599200,2823,1492035357.4198739529,-0.143400
2959,1492035357.7966470718,0.599500,3116,1492035358.2330191135,-0.166000
3230,1492035358.5487709045,0.551400,3388,1492035358.9862899780,-0.128600
3509,1492035359.3216710091,0.492300,3688,1492035359.8182249069,-0.173400
3788,1492035360.0944309235,0.476700,3946,1492035360.5319430828,-0.190600
4067,1492035360.8676450253,0.533700,4239,1492035361.3451659679,-0.173600
4338,1492035361.6204090118,0.509900,4474,1492035361.9978320599,-0.183100
4610,1492035362.3739459515,0.547600,4767,1492035362.8096508980,-0.152800
4882,1492035363.1285429001,0.467900,4996,1492035363.4451100826,-0.165700
5167,1492035363.9200580120,0.582300,5203,1492035364.0202209949,-0.249100
5438,1492035364.6744139194,0.466500,5473,1492035364.7726829052,-0.208100
5716,1492035365.4459240437,0.594000,5752,1492035365.5456779003,-0.361000
6002,1492035366.2382900715,0.540100,6038,1492035366.3385291100,-0.298100
6274,1492035366.9928619862,0.595100,6310,1492035367.0920600891,-0.061000
6560,1492035367.7846300602,0.573200,6596,1492035367.8842980862,-0.396600
6835,1492035368.5564239025,0.636400,6871,1492035368.6563279629,-0.163100
7107,1492035369.3110420704,0.690300,7142,1492035369.4083058834,-0.446300
7385,1492035370.0825281143,0.562700,7421,1492035370.1822340488,-0.192400
7664,1492035370.8563079834,0.599100,7800,1492035371.2336099148,-0.144400
7943,1492035371.6303949356,0.510000,8121,1492035372.1244070530,-0.139100
8221,1492035372.4016940594,0.573800,8393,1492035372.8792569637,-0.152400
8507,1492035373.1952230930,0.467800,,,



Accel Z
P_i,P_t,P_x,T_i,T_t,T_p
472,1492035350.8982629776,0.594000,486,1492035350.9371919632,-0.340400
758,1492035351.6916100979,0.271100,1308,1492035353.2184379101,-0.314400
1044,1492035352.4852399826,0.703400,1329,1492035353.2766010761,-0.393300
1315,1492035353.2376430035,0.236400,1864,1492035354.7628350258,-0.209200
1593,1492035354.0106210709,0.360000,2144,1492035355.5381948948,-0.356000
1872,1492035354.7848229408,0.359700,3002,1492035357.9160170555,-0.363200
2158,1492035355.5766429901,0.931300,3559,1492035359.4612739086,-0.384600
2437,1492035356.3497478962,0.567700,4067,1492035360.8676450253,-0.229700
2987,1492035357.8743839264,0.550000,4359,1492035361.6788671017,-0.273800
3266,1492035358.6483340263,0.414900,4632,1492035362.4344830513,-0.420300
