Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
751,1492035351.6718320847,0.089000
877,1492035352.0214281082,0.002000
1051,1492035352.5045320988,0.067900
1188,1492035352.8844540119,-0.051100
1258,1492035353.0794010162,0.095900
1469,1492035353.6657838821,-0.097000
1536,1492035353.8518049717,0.099300
1712,1492035354.3404300213,0.011600
1800,1492035354.5846300125,0.097900
2026,1492035355.2113220692,-0.075400
2093,1492035355.3980441093,0.058100
2305,1492035355.9836039543,-0.085400
2380,1492035356.1916608810,0.057900
2567,1492035356.7105090618,-0.049700
2659,1492035356.9648749828,0.095600
2827,1492035357.4310719967,-0.003500
2930,1492035357.7164289951,0.077400
3120,1492035358.2442309856,-0.075800
3209,1492035358.4907119274,0.053700
3403,1492035359.0280809402,-0.096300
3473,1492035359.2220430374,0.085500
3696,1492035359.8402369022,-0.006300
3753,1492035359.9971179962,0.084800
3954,1492035360.5544369221,-0.096600
4038,1492035360.7875039577,0.093200
4247,1492035361.3673501015,-0.057600
4303,1492035361.5230441093,0.056700
4478,1492035362.0084910393,-0.017100
4582,1492035362.2959289551,0.057300
4771,1492035362.8208498955,-0.096200
4853,1492035363.0478770733,0.079000
5000,1492035363.4563360214,-0.006200
5131,1492035363.8198099136,0.045600
5211,1492035364.0421500206,-0.053700
5381,1492035364.5153589249,0.070000
5488,1492035364.8143029213,0.016900
5687,1492035365.3654499054,0.086900
5767,1492035365.5872941017,-0.015200
5974,1492035366.1601450443,0.044300
6053,1492035366.3800749779,0.015000
6252,1492035366.9314970970,0.097900
6325,1492035367.1336610317,-0.086100
6531,1492035367.7043299675,0.055900
6609,1492035367.9260160923,0.008800
6807,1492035368.4780519009,0.019900
6879,1492035368.6780660152,-0.039200
7085,1492035369.2500979900,0.083600
7151,1492035369.4336960316,0.057500
7357,1492035370.0045421124,0.040000
7436,1492035370.2238650322,-0.040100
7635,1492035370.7770819664,0.077900
7804,1492035371.2446050644,-0.049700
7914,1492035371.5498220921,0.095600
8125,1492035372.1353559494,-0.094400
8193,1492035372.3241229057,0.071700
8415,1492035372.9401440620,0.020700
8478,1492035373.1152060032,0.085100
8558,1492035373.3367419243,-0.044000



Accel Z
S_i,S_t,S_x
745,1492035351.6554439068,-0.269500
751,1492035351.6718320847,-0.269500
1323,1492035353.2600810528,-0.393300
1029,1492035352.4439771175,-0.306600
1566,1492035353.9351420403,-0.269200
1308,1492035353.2184379101,-0.314400
1887,1492035354.8267049789,-0.214400
1586,1492035353.9908139706,-0.323900
2148,1492035355.5489599705,-0.354200
1864,1492035354.7628350258,-0.209200
3231,1492035358.5515420437,-0.303100
2151,1492035355.5570979118,-0.354200
3803,1492035360.1361689568,-0.333900
2430,1492035356.3301360607,-0.287700
4104,1492035360.9705359936,-0.271600
2980,1492035357.8549659252,-0.290800
4382,1492035361.7427120209,-0.243500
3252,1492035358.6095490456,-0.245500
4889,1492035363.1482191086,-0.200800
3809,1492035360.1530370712,-0.333900
5203,1492035364.0202209949,-0.215500
4067,1492035360.8676450253,-0.229700
5731,1492035365.4876229763,-0.225300
4356,1492035361.6704690456,-0.273800
5760,1492035365.5676639080,-0.299400
