Accel X
P_i,P_t,P_x,T_i,T_t,T_p
825,1492035168.5990650654,-0.089000,639,1492035168.0826520920,-0.657000
1233,1492035169.7292599678,-0.005400,939,1492035168.9154469967,-0.940000
1519,1492035170.5226500034,0.136900,1218,1492035169.6876099110,-0.862900
1797,1492035171.2955460548,-0.002200,1504,1492035170.4809999466,-0.984200
2082,1492035172.0858139992,0.100700,1789,1492035171.2736649513,-0.884700
2354,1492035172.8416650295,0.084400,2068,1492035172.0470139980,-0.703200
2646,1492035173.6533920765,0.050100,2353,1492035172.8388500214,-0.751600
2925,1492035174.4269518852,0.070000,2631,1492035173.6116828918,-0.929900
3210,1492035175.2170639038,0.196200,2910,1492035174.3852109909,-0.845200
3496,1492035176.0099070072,-0.003100,3196,1492035175.1778469086,-0.995400
3775,1492035176.7845029831,-0.050800,3482,1492035175.9712700844,-0.976000
4053,1492035177.5557720661,0.068600,3754,1492035176.7260150909,-0.694900
4332,1492035178.3295431137,-0.010100,4039,1492035177.5170021057,-0.807200
4611,1492035179.1024060249,-0.003700,4318,1492035178.2907400131,-0.584000
4882,1492035179.8552930355,-0.030500,4597,1492035179.0635650158,-0.978600
5168,1492035180.6490979195,0.088400,4875,1492035179.8364250660,-0.570000
5453,1492035181.4406149387,0.060900,5154,1492035180.6102640629,-0.600300
5732,1492035182.2129058838,0.049600,5439,1492035181.4017241001,-0.682300
6011,1492035182.9868550301,0.142000,5718,1492035182.1736459732,-0.894600
6290,1492035183.7606399059,0.199400,5997,1492035182.9480121136,-0.951000
6725,1492035184.9685370922,-0.049400,6275,1492035183.7190539837,-0.886700
7125,1492035186.0790588856,0.119900,6547,1492035184.4739620686,-0.802600
7401,1492035186.8509778976,0.177600,6832,1492035185.2657380104,-0.567800
7680,1492035187.6249639988,0.144800,7110,1492035186.0374209881,-0.997400
7957,1492035188.3959629536,0.072000,7387,1492035186.8118441105,-0.933700
8235,1492035189.1695489883,0.031200,7665,1492035187.5832819939,-0.978500
8513,1492035189.9418270588,0.015000,7943,1492035188.3571250439,-0.862900
,,,8221,1492035189.1306130886,-0.953300
,,,8499,1492035189.9025559425,-0.988300
,,,8799,1492035190.7343940735,-0.870900



Accel Y
P_i,P_t,P_x,T_i,T_t,T_p
953,1492035168.9545280933,0.626700,1068,1492035169.2732529640,-0.159800
1176,1492035169.5710139275,0.502900,1347,1492035170.0458838940,-0.177900
1518,1492035170.5198390484,0.494100,1633,1492035170.8389790058,-0.170400
1754,1492035171.1758389473,0.496800,1868,1492035171.4926729202,-0.150300
2039,1492035171.9670500755,0.440300,2075,1492035172.0666620731,-0.246600
2311,1492035172.7220749855,0.456400,2353,1492035172.8388500214,-0.202800
2646,1492035173.6533920765,0.651600,2753,1492035173.9495921135,-0.171300
2874,1492035174.2854630947,0.473900,3017,1492035174.6822080612,-0.156300
3167,1492035175.0976660252,0.491900,3346,1492035175.5944850445,-0.136100
3446,1492035175.8717079163,0.592800,3553,1492035176.1685979366,-0.176100
3718,1492035176.6261689663,0.544800,3760,1492035176.7427060604,-0.268100
4003,1492035177.4172670841,0.476600,4039,1492035177.5170021057,-0.290800
4282,1492035178.1910929680,0.516500,4318,1492035178.2907400131,-0.449500
4561,1492035178.9637269974,0.593200,4668,1492035179.2602200508,-0.132600
4832,1492035179.7164781094,0.496000,4875,1492035179.8364250660,-0.220900
