Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
946,1492035168.9348831177,0.031300
1090,1492035169.3347799778,-0.043200
1147,1492035169.4908599854,0.083700
1369,1492035170.1071419716,-0.050200
1511,1492035170.5006210804,0.071000
1641,1492035170.8610110283,-0.086600
1718,1492035171.0750889778,0.087400
1872,1492035171.5038950443,-0.032800
2004,1492035171.8696019650,0.089500
2083,1492035172.0886209011,0.004200
2275,1492035172.6222460270,0.094400
2369,1492035172.8832490444,-0.026400
2639,1492035173.6337289810,0.039400
2757,1492035173.9608359337,-0.072000
2846,1492035174.2074859142,0.073400
3021,1492035174.6934249401,-0.046000
3132,1492035175.0011239052,0.057900
3350,1492035175.6057069302,-0.052300
3418,1492035175.7934620380,0.079500
3557,1492035176.1798250675,-0.013400
3689,1492035176.5458590984,0.064600
3776,1492035176.7873051167,-0.000500
3967,1492035177.3176829815,0.093100
4054,1492035177.5586800575,0.045000
4253,1492035178.1105000973,0.084700
4326,1492035178.3130578995,0.066600
4533,1492035178.8856549263,0.063000
4672,1492035179.2714509964,-0.026600
4797,1492035179.6188769341,0.053000
4890,1492035179.8776090145,0.000700
5089,1492035180.4295220375,0.077000
5169,1492035180.6519150734,-0.031600
5375,1492035181.2240159512,0.046100
5454,1492035181.4434149265,0.028000
5653,1492035181.9943079948,0.050200
5793,1492035182.3817319870,-0.092400
5932,1492035182.7677059174,0.063200
5998,1492035182.9508008957,0.096100
6211,1492035183.5414929390,0.075500
6405,1492035184.0794301033,-0.064300
6489,1492035184.3126580715,0.073500
6700,1492035184.8988060951,-0.088300
6760,1492035185.0661830902,0.080800
7221,1492035186.3462920189,0.023100
7046,1492035185.8598411083,0.088700
7538,1492035187.2305390835,-0.023100
7322,1492035186.6311039925,0.046300
7776,1492035187.8918070793,-0.093500
7608,1492035187.4254760742,0.078300
8054,1492035188.6654560566,-0.029000
7886,1492035188.1982700825,0.065300
8378,1492035189.5672860146,-0.076700
8164,1492035188.9716579914,0.053300
8660,1492035190.3502728939,-0.062600
8434,1492035189.7227320671,0.082000
8807,1492035190.7564868927,0.058000
8742,1492035190.5775051117,0.086500
8807,1492035190.7564868927,0.058000



Accel Z
S_i,S_t,S_x
925,1492035168.8765349388,-0.268300
1226,1492035169.7100660801,-0.223700
1204,1492035169.6491498947,-0.325200
2040,1492035171.9698541164,-0.241400
1775,1492035171.2346930504,-0.305100
2361,1492035172.8608369827,-0.227500
2061,1492035172.0279209614,-0.258700
2604,1492035173.5362811089,-0.206400
2339,1492035172.7998299599,-0.228600
2918,1492035174.4072120190,-0.205600
2610,1492035173.5531649590,-0.206400
3733,1492035176.6680099964,-0.201800
2645,1492035173.6505880356,-0.389200
4004,1492035177.4200770855,-0.260500
3467,1492035175.9301259518,-0.282200
4040,1492035177.5197999477,-0.345200
3746,1492035176.7038640976,-0.335400
4318,1492035178.2907400131,-0.350100
4021,1492035177.4670279026,-0.362200
4833,1492035179.7192859650,-0.201000
4303,1492035178.2490170002,-0.359700
5161,1492035180.6294589043,-0.295300
4582,1492035179.0214910507,-0.299000
5447,1492035181.4237520695,-0.260700
4860,1492035179.7945020199,-0.318600
