timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1491853178.4104979038,1491853178.4130918980, -0.1877,  0.0080, -0.0052,  0.0063,  0.0036, -0.0134
1491853178.4135539532,1491853178.4163908958, -0.2200,  0.0085, -0.0052,  0.0063,  0.0036, -0.0134
1491853178.4167699814,1491853178.4190649986, -0.2200,  0.0085, -0.0052,  0.0063,  0.0036, -0.0148
1491853178.4194350243,1491853178.4217340946, -0.2200,  0.0085, -0.0052,  0.0066,  0.0040, -0.0148
1491853178.4221050739,1491853178.4244780540, -0.2200,  0.0085, -0.0052,  0.0066,  0.0040, -0.0148
1491853178.4249169827,1491853178.4272370338, -0.1875,  0.0073, -0.0066,  0.0066,  0.0040, -0.0148
1491853178.4276061058,1491853178.4299030304, -0.1875,  0.0073, -0.0066,  0.0074,  0.0042, -0.0128
1491853178.4302749634,1491853178.4325730801, -0.1875,  0.0073, -0.0066,  0.0074,  0.0042, -0.0128
1491853178.4329431057,1491853178.4354751110, -0.1875,  0.0073, -0.0066,  0.0074,  0.0042, -0.0128
1491853178.4358479977,1491853178.4381461143, -0.1875,  0.0073, -0.0066,  0.0074,  0.0042, -0.0128
1491853178.4385159016,1491853178.4408140182, -0.1875,  0.0073, -0.0066,  0.0076,  0.0040, -0.0121
1491853178.4411840439,1491853178.4434831142, -0.1875,  0.0073, -0.0066,  0.0076,  0.0040, -0.0121
1491853178.4438529015,1491853178.4464619160, -0.1879,  0.0071, -0.0071,  0.0076,  0.0040, -0.0121
1491853178.4468340874,1491853178.4491319656, -0.1879,  0.0071, -0.0071,  0.0076,  0.0040, -0.0121
1491853178.4495029449,1491853178.4519619942, -0.1879,  0.0071, -0.0071,  0.0064,  0.0041, -0.0132
1491853178.4523320198,1491853178.4546918869, -0.1879,  0.0071, -0.0071,  0.0064,  0.0041, -0.0132
1491853178.4550631046,1491853178.4573600292, -0.1879,  0.0071, -0.0071,  0.0064,  0.0041, -0.0132
1491853178.4577300549,1491853178.4600241184, -0.1879,  0.0071, -0.0071,  0.0064,  0.0041, -0.0127
1491853178.4603929520,1491853178.4626920223, -0.1879,  0.0071, -0.0071,  0.0062,  0.0044, -0.0127
1491853178.4630639553,1491853178.4655070305, -0.1886,  0.0076, -0.0065,  0.0062,  0.0044, -0.0127
1491853178.4658849239,1491853178.4682970047, -0.1886,  0.0076, -0.0065,  0.0062,  0.0044, -0.0127
1491853178.4686729908,1491853178.4710819721, -0.1886,  0.0076, -0.0065,  0.0062,  0.0046, -0.0127
1491853178.4714579582,1491853178.4738640785, -0.1886,  0.0076, -0.0065,  0.0062,  0.0046, -0.0127
1491853178.4742510319,1491853178.4766600132, -0.1886,  0.0076, -0.0065,  0.0062,  0.0046, -0.0127
1491853178.4770369530,1491853178.4794440269, -0.1886,  0.0076, -0.0065,  0.0062,  0.0046, -0.0127
1491853178.4798190594,1491853178.4822258949, -0.1886,  0.0076, -0.0065,  0.0062,  0.0050, -0.0124
1491853178.4826018810,1491853178.4850099087, -0.1886,  0.0081, -0.0067,  0.0062,  0.0050, -0.0124
1491853178.4853820801,1491853178.4876849651, -0.1882,  0.0081, -0.0067,  0.0062,  0.0050, -0.0124
