Accel X
P_i,P_t,P_x,T_i,T_t,T_p
1658,1491852973.3944010735,-0.039450,1244,1491852972.2450718880,-0.262200
2250,1491852975.0390529633,-0.030750,1858,1491852973.9503650665,-0.247725
2835,1491852976.6644558907,-0.002400,2436,1491852975.5557880402,-0.311250
3392,1491852978.2099940777,-0.012750,3021,1491852977.1815960407,-0.307350
3592,1491852978.7651360035,-0.006225,3585,1491852978.7455129623,-0.353325
3977,1491852979.8358280659,0.007200,4163,1491852980.3520910740,-0.287850
4541,1491852981.4024829865,0.022575,5026,1491852982.7501809597,-0.229725
5097,1491852982.9475729465,0.010200,5647,1491852984.4744420052,-0.225525
5669,1491852984.5352959633,-0.013425,5861,1491852985.0678439140,-0.279225
5868,1491852985.0874850750,-0.007425,6368,1491852986.4766829014,-0.238575
6247,1491852986.1404619217,0.025725,7360,1491852989.2302770615,-0.246000
6818,1491852987.7250649929,0.011550,7575,1491852989.8273839951,-0.242550
7382,1491852989.2911009789,0.041550,8460,1491852992.2833380699,-0.236550
7582,1491852989.8470170498,-0.041025,8725,1491852993.0186679363,-0.340725
7967,1491852990.9157071114,-0.018975,9304,1491852994.6233839989,-0.248775
8546,1491852992.5216848850,-0.005400,10190,1491852997.0795869827,-0.277575
8732,1491852993.0380649567,0.013800,10944,1491852999.1820731163,-0.382800
9118,1491852994.1075150967,-0.040125,11496,1491853000.7082550526,-0.297675
9675,1491852995.6523120403,-0.006975,11812,1491853001.5817680359,-0.255900
10212,1491852997.1402769089,-0.043275,12062,1491853002.2749309540,-0.377100
10758,1491852998.6674940586,-0.037875,12398,1491853003.2063651085,-0.244200
10951,1491852999.2011818886,0.064050,12598,1491853003.7612550259,-0.256350
11317,1491853000.2125740051,-0.037125,13134,1491853005.2481389046,-0.345600
11503,1491853000.7277090549,-0.010275,13462,1491853006.1595849991,-0.214200
11890,1491853001.7976949215,-0.012450,14019,1491853007.7057778835,-0.247050
12419,1491853003.2648739815,0.001650,14226,1491853008.2796640396,-0.320550
12955,1491853004.7513809204,-0.029550,15062,1491853010.5991289616,-0.242850
13141,1491853005.2675559521,-0.020475,15276,1491853011.1934530735,-0.273825
13491,1491853006.2400369644,0.011325,15612,1491853012.1261899471,-0.253575
