Accel X
S_i,S_t,S_x



Accel Y
S_i,S_t,S_x
351,1491853222.3163199425,0.057675
416,1491853222.4967451096,0.061350
573,1491853222.9311270714,-0.064650
789,1491853223.5281529427,0.019650
929,1491853223.9209389687,-0.066525
1116,1491853224.4393000603,0.098775
1294,1491853224.9328420162,-0.067425
1495,1491853225.4904708862,0.057225
1801,1491853226.3400630951,0.026850
1866,1491853226.5203979015,0.090600
2158,1491853227.3302769661,0.020325
2223,1491853227.5103659630,0.043875
2508,1491853228.3001379967,0.099375
2574,1491853228.4829399586,0.060225
2716,1491853228.8770260811,-0.054075
2909,1491853229.4128270149,-0.002775
3224,1491853230.2846770287,0.058425
3289,1491853230.4650700092,0.076950
3624,1491853231.3937571049,-0.015750
3642,1491853231.4433600903,-0.029100
3802,1491853231.8873260021,-0.082275
3982,1491853232.3869719505,0.025950
4295,1491853233.2564570904,0.084900
4360,1491853233.4363899231,-0.026025
4667,1491853234.2872838974,0.089325
4725,1491853234.4476790428,0.017250
5032,1491853235.2973101139,0.070650
5091,1491853235.4600369930,0.053475
5397,1491853236.3097190857,0.057000
5455,1491853236.4698390961,-0.041775
5762,1491853237.3201360703,0.028125
5820,1491853237.4808530807,-0.082650
5983,1491853237.9330589771,-0.091425
6198,1491853238.5309720039,0.077025



Accel Z
S_i,S_t,S_x
1487,1491853225.4683361053,-0.270750
1490,1491853225.4767570496,-0.270750
1490,1491853225.4767570496,-0.270750
1855,1491853226.4898049831,-0.314025
1858,1491853226.4982590675,-0.314025
3632,1491853231.4156239033,-0.301350
1858,1491853226.4982590675,-0.314025
5076,1491853235.4188990593,-0.253200
3638,1491853231.4321520329,-0.301350
5076,1491853235.4188990593,-0.253200
4002,1491853232.4428079128,-0.276900
6177,1491853238.4711580276,-0.206325
4002,1491853232.4428079128,-0.276900
6578,1491853239.5814020634,-0.295275
5082,1491853235.4356501102,-0.253200
5082,1491853235.4356501102,-0.253200
6183,1491853238.4878890514,-0.206325



Gyro X
S_i,S_t,S_x
621,1491853223.0646750927,-0.050025
666,1491853223.1890230179,0.094650
972,1491853224.0418870449,0.011550
1135,1491853224.4942939281,-0.075675
1331,1491853225.0377550125,0.065175
1366,1491853225.1350750923,-0.062025
1691,1491853226.0376029015,0.017025
1725,1491853226.1319830418,-0.060600
2051,1491853227.0357251167,0.097125
2178,1491853227.3882689476,-0.088500
2403,1491853228.0122621059,0.007425
2560,1491853228.4465839863,0.026700
2726,1491853228.9068229198,0.086250
2920,1491853229.4452700615,0.000300
3083,1491853229.8968799114,0.045375
3143,1491853230.0630519390,-0.099450
3473,1491853230.9764940739,0.016500
3640,1491853231.4401869774,-0.017850
3810,1491853231.9119400978,0.063150
3874,1491853232.0897209644,-0.082200
4195,1491853232.9825789928,0.061275
4359,1491853233.4360210896,0.006000
4526,1491853233.8989770412,0.098625
4594,1491853234.0872480869,-0.068700
4894,1491853234.9175748825,0.089025
4951,1491853235.0747890472,-0.085200
5257,1491853235.9237248898,0.092700
5452,1491853236.4638609886,-0.086925
5621,1491853236.9322130680,0.095250
5682,1491853237.1008749008,-0.078150
5993,1491853237.9626429081,0.072375
6042,1491853238.0991969109,-0.099825
